,Likes,Price,Pop_1E,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E,categories_cat,GeoID_cat
71,0.0,1.0,53134,39.8,93423.0,4587,8983,34598,18536,9,115
72,0.0,1.0,53134,39.8,93423.0,4587,8983,34598,18536,3,115
73,0.0,1.0,43253,34.9,73910.0,6345,4602,26133,17120,2,109
74,0.0,1.0,43253,34.9,73910.0,6345,4602,26133,17120,2,109
75,52.0,3.0,53932,36.0,63445.0,10494,8364,19837,34095,4,152
76,32.0,2.0,43253,34.9,73910.0,6345,4602,26133,17120,2,109
77,1.0,1.0,26877,43.4,83610.0,2954,6061,22182,4695,3,51
78,1.0,3.0,831,27.1,49980.0,106,126,618,213,10,79
79,7.0,2.0,26877,43.4,83610.0,2954,6061,22182,4695,6,51
80,11.0,2.0,26877,43.4,83610.0,2954,6061,22182,4695,6,51
81,13.0,2.0,26877,43.4,83610.0,2954,6061,22182,4695,8,51
82,0.0,1.0,26877,43.4,83610.0,2954,6061,22182,4695,3,51
83,4.0,1.0,26877,43.4,83610.0,2954,6061,22182,4695,3,51
84,0.0,1.0,26877,43.4,83610.0,2954,6061,22182,4695,3,51
85,105.0,3.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
86,10.0,3.0,26877,43.4,83610.0,2954,6061,22182,4695,6,51
87,66.0,2.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
88,244.0,3.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
89,238.0,2.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
90,75.0,3.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
91,102.0,2.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
92,43.0,3.0,26877,43.4,83610.0,2954,6061,22182,4695,10,51
93,0.0,2.0,21207,44.8,112055.0,1322,5131,12962,8245,9,133
94,0.0,1.0,21207,44.8,112055.0,1322,5131,12962,8245,9,133
95,0.0,2.0,30587,41.7,68025.0,4622,7343,17182,13405,6,5
96,4.0,1.0,65502,40.1,73042.0,11778,14577,27924,37578,3,8
97,25.0,1.0,90847,38.3,73256.0,18526,18582,40121,50726,3,7
98,20.0,3.0,65502,40.1,73042.0,11778,14577,27924,37578,6,8
99,69.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,4,7
100,75.0,2.0,65502,40.1,73042.0,11778,14577,27924,37578,1,8
101,17.0,1.0,57036,32.3,126056.0,5860,25475,42759,14277,7,30
102,0.0,1.0,77847,29.4,75825.0,9154,16680,62700,15147,3,31
103,1.0,1.0,69260,33.8,72918.0,7869,15323,55292,13968,3,14
104,0.0,2.0,69260,33.8,72918.0,7869,15323,55292,13968,4,14
105,3.0,2.0,69260,33.8,72918.0,7869,15323,55292,13968,4,14
106,3.0,1.0,69260,33.8,72918.0,7869,15323,55292,13968,3,14
107,10.0,1.0,72925,30.7,66570.0,12502,13571,53511,19414,8,34
108,2.0,1.0,52174,36.5,37269.0,8799,4100,37742,14432,4,35
109,1.0,2.0,52174,36.5,37269.0,8799,4100,37742,14432,0,35
110,54.0,2.0,69260,33.8,72918.0,7869,15323,55292,13968,7,14
111,0.0,2.0,109987,34.0,69419.0,13073,26755,77095,32892,9,25
112,1.0,3.0,109987,34.0,69419.0,13073,26755,77095,32892,2,25
113,0.0,2.0,21237,36.3,141251.0,1420,11716,16595,4642,4,27
114,2.0,1.0,40451,32.7,71827.0,3516,9514,25807,14644,3,26
115,4.0,1.0,40451,32.7,71827.0,3516,9514,25807,14644,4,26
116,1.0,1.0,69111,36.1,72416.0,6910,15340,39688,29423,3,24
117,32.0,2.0,54666,40.3,65997.0,5799,9246,26245,28421,3,42
118,0.0,2.0,51922,39.9,72809.0,4517,9106,23931,27991,9,40
119,47.0,1.0,54666,40.3,65997.0,5799,9246,26245,28421,2,42
120,66.0,2.0,31993,42.6,88250.0,4918,6376,19976,12017,4,61
121,22.0,3.0,31993,42.6,88250.0,4918,6376,19976,12017,6,61
122,0.0,4.0,31993,42.6,88250.0,4918,6376,19976,12017,4,61
123,0.0,1.0,31993,42.6,88250.0,4918,6376,19976,12017,3,61
124,1.0,1.0,37887,36.0,73035.0,4692,5913,22972,14915,1,45
125,1.0,1.0,96755,33.6,52601.0,11438,8981,65544,31211,3,36
126,5.0,1.0,72186,37.8,92808.0,5685,15546,40844,31342,3,23
127,1.0,1.0,51922,39.9,72809.0,4517,9106,23931,27991,3,40
128,25.0,1.0,51922,39.9,72809.0,4517,9106,23931,27991,2,40
129,0.0,2.0,57051,30.7,69755.0,11175,11548,36405,20646,9,33
130,0.0,1.0,57051,30.7,69755.0,11175,11548,36405,20646,8,33
131,0.0,2.0,57051,30.7,69755.0,11175,11548,36405,20646,4,33
132,439.0,2.0,57051,30.7,69755.0,11175,11548,36405,20646,7,33
133,0.0,1.0,75437,33.9,81047.0,9511,13827,41373,34064,3,122
134,55.0,1.0,75437,33.9,81047.0,9511,13827,41373,34064,5,122
135,1.0,1.0,57051,30.7,69755.0,11175,11548,36405,20646,7,33
136,1.0,1.0,75437,33.9,81047.0,9511,13827,41373,34064,7,122
137,4.0,1.0,57051,30.7,69755.0,11175,11548,36405,20646,3,33
138,0.0,1.0,75437,33.9,81047.0,9511,13827,41373,34064,9,122
139,1.0,2.0,57051,30.7,69755.0,11175,11548,36405,20646,8,33
140,0.0,2.0,75437,33.9,81047.0,9511,13827,41373,34064,6,122
141,3.0,1.0,75437,33.9,81047.0,9511,13827,41373,34064,1,122
142,8.0,1.0,75437,33.9,81047.0,9511,13827,41373,34064,8,122
143,22.0,2.0,75437,33.9,81047.0,9511,13827,41373,34064,7,122
144,34.0,3.0,65502,40.1,73042.0,11778,14577,27924,37578,6,8
145,1.0,2.0,45607,33.9,152758.0,4201,21284,36449,9158,7,16
146,280.0,2.0,74731,36.0,176550.0,3220,43249,62461,12270,0,15
147,1.0,2.0,32193,35.5,110463.0,3392,11947,24935,7258,5,28
148,2.0,3.0,32193,35.5,110463.0,3392,11947,24935,7258,3,28
149,165.0,1.0,32193,35.5,110463.0,3392,11947,24935,7258,1,28
150,9.0,2.0,32193,35.5,110463.0,3392,11947,24935,7258,5,28
151,3.0,1.0,74767,34.9,83094.0,8040,30392,43807,30960,3,156
152,62.0,3.0,19228,34.2,53740.0,2665,3381,11806,7422,10,155
153,24.0,2.0,74767,34.9,83094.0,8040,30392,43807,30960,7,156
154,4.0,2.0,36014,32.5,43953.0,8127,2308,21840,14174,8,49
155,0.0,2.0,44057,31.6,38738.0,10559,3142,30794,13263,8,54
156,0.0,1.0,37130,32.1,47672.0,8420,3070,21814,15316,3,75
157,0.0,1.0,44057,31.6,38738.0,10559,3142,30794,13263,3,54
158,0.0,1.0,36014,32.5,43953.0,8127,2308,21840,14174,3,49
159,1.0,3.0,30372,38.5,63544.0,4000,5763,21109,9263,3,72
160,6.0,2.0,30372,38.5,63544.0,4000,5763,21109,9263,3,72
161,2.0,1.0,30372,38.5,63544.0,4000,5763,21109,9263,5,72
162,95.0,2.0,28302,35.4,63935.0,4777,3954,17994,10308,7,76
163,0.0,3.0,30372,38.5,63544.0,4000,5763,21109,9263,3,72
164,13.0,3.0,30372,38.5,63544.0,4000,5763,21109,9263,9,72
165,1.0,2.0,37130,32.1,47672.0,8420,3070,21814,15316,5,75
166,1.0,3.0,30372,38.5,63544.0,4000,5763,21109,9263,1,72
167,0.0,2.0,26196,31.2,38489.0,6184,1784,17188,9008,4,57
168,0.0,1.0,26196,31.2,38489.0,6184,1784,17188,9008,3,57
169,1.0,1.0,60572,36.9,85858.0,9218,9717,31122,29450,3,146
170,0.0,1.0,35576,39.0,91661.0,3492,6439,23932,11644,3,121
171,0.0,2.0,35576,39.0,91661.0,3492,6439,23932,11644,6,121
172,0.0,2.0,35576,39.0,91661.0,3492,6439,23932,11644,3,121
173,6.0,1.0,50935,34.3,56925.0,8938,7794,29084,21851,3,58
174,0.0,1.0,50935,34.3,56925.0,8938,7794,29084,21851,3,58
175,1.0,1.0,50935,34.3,56925.0,8938,7794,29084,21851,3,58
176,28.0,2.0,32163,33.3,46817.0,6768,3167,16689,15474,8,60
177,3.0,1.0,50935,34.3,56925.0,8938,7794,29084,21851,3,58
178,0.0,1.0,42227,32.6,48141.0,7569,5458,24486,17741,4,70
179,5.0,1.0,57685,31.5,54033.0,11098,5270,32066,25619,3,46
180,15.0,1.0,43476,37.2,84052.0,5975,11326,19150,24326,5,135
181,2.0,2.0,36975,35.0,77575.0,3405,7552,22937,14038,6,136
182,6.0,1.0,36975,35.0,77575.0,3405,7552,22937,14038,3,136
183,13.0,2.0,18699,43.6,94530.0,1338,6734,9724,8975,1,137
184,62.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,8,89
185,1830.0,2.0,27875,36.3,194326.0,845,17876,18819,9056,0,90
186,1618.0,2.0,27875,36.3,194326.0,845,17876,18819,9056,6,90
187,2.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,6,89
188,45.0,4.0,27875,36.3,194326.0,845,17876,18819,9056,0,90
189,10.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,2,89
190,74.0,1.0,49758,38.7,130078.0,2887,29051,33518,16240,0,89
191,56.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,8,89
192,1.0,3.0,49758,38.7,130078.0,2887,29051,33518,16240,10,89
193,179.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,4,89
194,7.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,0,89
195,0.0,2.0,27875,36.3,194326.0,845,17876,18819,9056,1,90
196,82.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,4,89
197,57.0,3.0,49758,38.7,130078.0,2887,29051,33518,16240,6,89
198,5.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,3,89
199,299.0,2.0,49758,38.7,130078.0,2887,29051,33518,16240,4,89
200,196.0,4.0,49758,38.7,130078.0,2887,29051,33518,16240,0,89
201,3.0,1.0,54256,40.2,90916.0,6104,9162,28533,25723,3,134
202,8.0,3.0,54256,40.2,90916.0,6104,9162,28533,25723,4,134
203,0.0,2.0,54256,40.2,90916.0,6104,9162,28533,25723,4,134
204,0.0,1.0,32179,38.1,93741.0,3236,6167,19593,12586,3,131
205,0.0,3.0,32179,38.1,93741.0,3236,6167,19593,12586,3,131
206,1.0,1.0,32179,38.1,93741.0,3236,6167,19593,12586,3,131
207,23.0,1.0,24234,40.6,77369.0,4039,5374,8244,15990,10,143
208,81.0,1.0,24234,40.6,77369.0,4039,5374,8244,15990,1,143
209,43.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,7,130
210,103.0,1.0,24234,40.6,77369.0,4039,5374,8244,15990,1,143
211,2.0,1.0,81745,37.5,65330.0,14649,14977,27018,54727,3,130
212,0.0,1.0,81745,37.5,65330.0,14649,14977,27018,54727,3,130
213,11.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,3,130
214,23.0,1.0,81745,37.5,65330.0,14649,14977,27018,54727,3,130
215,31.0,1.0,24234,40.6,77369.0,4039,5374,8244,15990,1,143
216,4.0,1.0,81745,37.5,65330.0,14649,14977,27018,54727,3,130
217,1.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,10,130
218,0.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,4,130
219,232.0,2.0,27739,44.8,82629.0,2217,11038,11454,16285,9,120
220,28.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,7,130
221,290.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,1,130
222,54.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,1,130
223,64.0,2.0,81745,37.5,65330.0,14649,14977,27018,54727,1,130
224,2.0,1.0,43858,40.2,79562.0,5554,8742,25017,18841,3,77
225,1.0,2.0,43858,40.2,79562.0,5554,8742,25017,18841,2,77
226,0.0,1.0,66606,34.9,59194.0,10002,8606,40372,26234,3,71
227,0.0,1.0,66606,34.9,59194.0,10002,8606,40372,26234,3,71
228,2.0,2.0,66606,34.9,59194.0,10002,8606,40372,26234,7,71
229,0.0,1.0,39423,35.8,50720.0,7253,4653,26006,13417,3,48
230,2.0,1.0,39423,35.8,50720.0,7253,4653,26006,13417,3,48
231,0.0,2.0,39423,35.8,50720.0,7253,4653,26006,13417,9,48
232,0.0,1.0,28913,37.6,75205.0,3726,6602,20132,8781,9,73
233,3.0,2.0,96755,33.6,52601.0,11438,8981,65544,31211,7,36
234,19.0,2.0,82931,38.7,90789.0,15652,11285,37348,45583,7,148
235,0.0,1.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
236,0.0,1.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
237,0.0,1.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
238,2.0,1.0,29219,45.0,100462.0,2993,6034,23340,5879,3,150
