,name,name_cat
189,Le Soleil Haitian Restaurant,815
190,Morning Star Restaurant,958
191,Cancun Mexican Restaurant,198
192,Sall Restaurant and Lounge,1269
193,ABA Turkish Restaurant,24
194,42nd Street Restaurant and Pizza,11
195,Zheng's Lucky Sunday Garden Restaurant,1511
196,Gazala's Restaurant,506
197,Amarone Restaurant,52
198,Happy Family Chinese Restaurant,584
199,Taboon,1360
200,Print,1185
201,Peking chinese resturant,1133
202,Mateus' Restaurant & Bar,896
203,El Patio Restaurant,389
204,Asia Chinese Restaurant,83
205,Lotus Garden Restaurant,840
206,New Panda,1020
207,China Pearl Restaurant,251
208,Pho Bac,1144
209,Boca Juniors Argentine Steakhouse,153
210,Taiwanese Specialties 老華西街台菜館,1365
211,New Taste Chinese Restaurant,1031
212,Ming Hing Chinese Restaurant,935
213,New Broadway Seafood Restaurant,989
214,Shun Wang Restaurant,1305
215,Boon Chu Thai Restaurant,161
216,Fu Fan Restaurant,487
217,Fortune Seafood Restaurant,471
218,Dorado Restaurant,320
219,Miller's Ale House - Rego Park,932
220,La Esquina Criolla,767
221,Ayada Thai,102
222,Sushi Island,1352
223,Tomo Japanese Cafe,1423
224,Red Flower Chinese Restaurant,1215
225,Kaieteur Restaurant & Bakery,705
226,Ming's Wok Chinese Restaurant,939
227,Jacky Chen's Chinese Restaurant,665
228,Sabor Latino Restaurant,1260
229,K & Q Restaurant,700
230,Century,223
231,La Luna Restaurant,776
232,C & H Restaurant,182
233,Caoba Restaurant/ Coffee Shop,203
234,El Campeon De Los Pollos,358
235,China Town Restaurant,253
236,New Dragon,998
237,Everygreen,435
238,Fuleen Palace,493
239,Empire Kitchen Chinese Restaurant,423
240,China Star Restaurant,252
241,Tony's Dragon Garden Chinese Restaurant,1425
242,Asakura Japanese Restaurant,82
243,Chris' Restaurant,261
244,Kung Fu Restaurant,748
245,Pino's Ristorante,1156
246,Villa Paradiso,1466
247,Em Vietnamese Restaurant,417
248,Taste Of China,1379
249,South Spring Restaurant,1328
250,Double Delight Chinese Restaurant,322
251,Blue Agave Mexican Restaurant & Bar,149
252,Yummy Yummy,1506
253,New Garden,1001
254,Wakamatsu,1475
255,Tropical Restaurant #3,1438
256,Sabor Restaurant & Bakery,1262
257,El Pollito Restaurant Incorporated,390
258,Canaan Restaurant,195
259,Happy Town Chinese Restaurant,587
260,Mr. Pollo,960
261,Akiyama Japanese Gourmet Restaurant,37
262,New Apolo Restaurant,985
263,Frost Restaurant,486
264,Cheers Thai,231
265,Fabbrica Restaurant & Bar,440
266,MyMoon Restaurant,969
267,Sea,1286
268,Ako,38
269,Juliette,694
270,Vera Cruz,1461
271,Bonita,158
272,Havana Cafe,593
273,Spoto's Italian Restaurant,1331
274,Green Dragon,559
275,Hawaii Chinese Kitchen,594
276,Ice House Cafe,632
277,Xing hui linda,1491
278,Reina Restaurant,1221
279,Jun Bo Restaurant,696
280,Quality Chef Chinese Restaurant,1198
281,Queen Wok,1204
282,Mexico & El Salvador Restaurant,914
283,A & A Dominican Restaurant,20
284,F & C Cafe And Restaurant,438
285,Karina Restaurant,712
286,New Rong Hua,1024
287,Kaieteur Express Restaurant,704
288,New Chun Feng Chinese Restaurant,995
289,Parrot Restaurant,1117
290,Hibiscus,601
291,Acqua Restaurant NYC,30
292,Yips Restaurant,1498
293,SUteiShi Japanese Restaurant,1258
294,Bombay's Indian Restaurant,157
295,Wave Japanese Restaurant,1477
296,Battery Gardens Restaurant,129
297,Miramar Seafood Restaurant,941
298,Lastai Ramro Restaurant,807
299,Edward's Restaurant,350
300,Grotto Pizzeria & Restaurant,563
301,Kokura Japanese Restaurant,739
302,Lantern Thai Kitchen,801
303,The River Café,1408
304,Bip America Restaurant Listings,144
305,Gigino at Wagner Park,517
306,2 West At The Ritz Carlton,5
307,SOUTHGATE Bar & Restaurant,1256
308,Patsy's Italian Restaurant,1123
309,Luce Restaurant & Enoteca,843
310,Il Violino Restaurant,646
311,Aegean,31
312,Rosa Mexicano,1245
313,Via Italia Restaurant,1462
314,Restaurant Triomphe,1228
315,Utsav Restaurant,1455
316,"The Round Table Restaurant, at The Algonquin",1409
317,The Four Seasons Restaurant,1397
318,Michael's Restaurant,925
319,Toledo Restaurant,1421
320,Connolly's Pub & Restaurant,283
321,Pow Wok Restaurant,1181
322,Maggie Reilly's Pub & Restaurant,865
323,Restaurant Dano,1224
324,The NoMad Restaurant,1404
325,Lex Restaurant,820
326,Island Restaurant,654
327,Paola's Restaurant,1111
328,Joanna's Restaurant,682
329,Bellini Italian Restaurant & Brick Oven Pizza,132
330,Serafina Fabulous Pizza,1294
331,The Mark Restaurant by Jean-Georges,1401
332,Heidelberg Restaurant,596
333,Mole Restaurant,948
334,Mezzaluna Restaurants,920
335,Kai Restaurant,703
336,Gardenia Restaurant,503
337,The Loeb Boathouse,1400
338,Ginza Japanese Restaurant,521
339,Barbaresco Restaurant,124
340,Agora Turkish Restaurant,33
341,Yuka Japanese Restaurant,1505
342,MangoSeed Restaurant,879
343,New China Chinese Restaurant,991
344,Lucky House Restaurant,848
345,Justine Restaurant,699
346,The Feeding Tree,1396
347,Yoly Restaurant,1500
348,Gargiulo's Restaurant,504
349,National Restaurant & Catering,980
350,Oriental Restaurant,1086
351,The National,1402
352,Santa Fe Grill & Bar,1280
353,Golden Phoenix Chinese Restaurant,538
354,China Wang,254
355,El Economico Restaurant,370
356,Land & Sea Restaurant,800
357,Peppino's Italian Family Restaurant,1136
358,Silhouette Restaurant & Lounge,1307
359,Elora's Restaurant,416
360,Voleo's Seafood Restaurant,1470
361,Fonda,459
362,Java Indonesian Rijsttafel,672
363,Ten Japanese Cuisine,1385
364,Wai Ling Tex-Mex Chinese Restaurant,1474
365,Joy Indian Restaurant,689
366,Udom Thai Restaurant & Bar,1450
367,Piquant,1161
368,Happy Restaurant,586
369,Sapid Indian Restaurant,1283
370,Milk River Restaurant,930
371,Perpetuel Restaurant & Haitian Bakery,1137
372,Bahar,108
373,Los Mariachis,835
374,Frank's Pizzeria & Restaurant,475
375,Luigi's Famous Pizza Resturants,856
376,Salvi's,1271
377,Dolce Vita,310
378,Kar,709
379,Sosaku,1326
380,Luigi's Restaurant & Bar,857
381,Santoor Indian Restaurant,1281
382,Great Wall,556
383,La Baraka Restaurant,754
