name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
Delicias Calenas,Delicia,90,"3568 73rd Street, Jackson Heights",Street,90
Dhaka Garden,Garden 13 Dairy Restaurant and Pizza,86,"72-23 37th Avenue, Jackson Heights",7th Ave,90
Bombay Kitchen,Halal Chinese Kitchen,86,"7227 37th Avenue, Jackson Heights",7th Ave,90
Dosa Delight,Deli,90,"35-66 73rd Street, Queens",Street,90
Haat Bazaar Restaurant,Restaurant,90,"3711 73rd Street #73, Queens",Street,90
Pizza Boy,Pizza Boy,100,"7404 37th Avenue, Queens",7th Ave,90
Al Naimat Sweets & Restaurant,Restaurant,90,"3703 74th Street, Jackson Heights",Street,90
Premium Sweets,Premium Sweets & Restaurant,90,"37-14 73rd Street, Flushing",37-14 73rd St,90
Kabir's Bakery,Kabir's Bakery,100,"7404 37th Avenue, Flushing",7th Ave,90
Khaabar Baari,Haab,90,"37-16 73rd Street, Flushing",Street,90
Mustang Thakali Kitchen,TANG,90,"74-14 37th Avenue, New York",7th Ave,90
Sagar Chinese,King Chinese Restaurant,86,"74-19 37th Avenue, New York",7th Ave,90
Afghan Kebab & Grill,Golden Krust Caribbean Bakery and Grill,86,"74-16 37th Avenue, Jackson Heights",7th Ave,90
Romeo´s Italian Restaurant,Rino's Italian Restaurant,90,"74-27 37th Avenue, New York",7th Ave,90
Airways Pizza Gyro & Restaurant,"Airways Pizza, Gyro & Restaurant",98,"90-13 Astoria Boulevard, New York",New York,90
Great Wall Chinese Restaurant,Great Wall Chinese Restaurant,100,"87-12 Astoria Boulevard, East Elmhurst",152-12 Northern Blvd,86
Panorama,Panerama Bakery & Pastry Shop,79,"8710 Astoria Boulevard, Flushing",10015 Astoria Blvd,86
Sweet Basil Thai Restaurant,Restaurant,90,"39-28 61st Street, Woodside",61st Street,90
Kathmandu Fusion Kitchen,Taipan Fusion Restaurant and Hookah Lounge,86,"39-26 61st Street, Woodside",61st Street,90
Puebla restaurant,Puebla Restaurant,100,"39-22 61st Street, Woodside",39-22 61st St,90
Matsuri,Matsu Japanese Restaurant,74,"39-56 61st Street, Woodside",61st Street,90
Taco Truck,Mexican Food Taco Truck,90,"6131 Roosevelt Avenue, Jackson Heights",Roosevelt Ave.,90
Matsuri Japanese Cousine,Yan Jing Chinese and Japanese Restaurant,86,"3956 60th Street, Woodside",Street,90
Zona Rosa Cocina Mexicana,Mexicana,90,"60-21 39th Avenue, Woodside",39th,90
Stop Inn,Sizzle Inn Restaurant,86,"60-22 Roosevelt Avenue, Woodside",Roosevelt Ave.,90
Panda Garden,Panda Garden,100,"5917 Roosevelt Avenue, Flushing",5917 Roosevelt Ave,90
Long Spring Garden,Garden 13 Dairy Restaurant and Pizza,86,"62-05 Roosevelt Avenue, Woodside",Roosevelt Ave.,90
Pizza Boy II,Pizza Boy,95,"58-19 Woodside Avenue, Woodside",165-19 Northern Blvd,86
Jollibee,Li Li,86,"62-29 Roosevelt Avenue, Queens",Roosevelt Ave.,90
