name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
La Sorrentina,La Strada Pizzeria & Restaurant,86,"6524 11th Avenue, Brooklyn",brooklyn,90
Ocean Chinese Restaurant,Chinese Restaurant,95,"6909 8th Avenue, Brooklyn",6909 8th Ave,90
Q & L Bakery,bakery,90,"6516 11th Avenue, Brooklyn",brooklyn,90
Mang Tang Hung,TANG,90,"6508 11th Avenue, Brooklyn",6508 11th Ave,90
Eissawy Halal Food,Halal Food,90,"6503-6501 Fort Hamilton Parkway, Brooklyn",brooklyn,90
新鳯凰城大酒店,New Hon Wong Restaurant 新恒旺大飯店,39,"912 65th Street, Brooklyn",65th street,90
Kung Fu Steamer,Jia Fu Lou Chinese Restaurant,86,"6415 11th Avenue, Brooklyn",6415 11th Ave,90
Great Fellas,Great Wall Restaurant,86,"6423 11th Avenue, Brooklyn",brooklyn,90
Mama Rao's Ristorante & Party Room,Moti's,86,"6408 11th Avenue, Brooklyn",brooklyn,90
Parc Oasis Oyster Bar,La Kuchara Ecuadorian Restaurant Bar,86,"6403 11th Avenue, Brooklyn",brooklyn,90
Meze,Agnanti Meze,90,"6601 13th Avenue, Brooklyn",brooklyn,90
One,Number One Chinese,90,"6320 11th Avenue, Brooklyn",6320 11th Ave,90
Rakuzen AYCE Sushi Brooklyn,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"6408 Fort Hamilton Parkway, Brooklyn",brooklyn,90
大丰收 Good Harvest,Good Day Seafood Restaurant,86,"6324 Fort Hamilton Parkway, Brooklyn",brooklyn,90
Baby Olive,Baby Restaurant,86,"1402 86th Street On, 14th Avenue, Brooklyn",4th Ave,90
Bklyn's Pizza,Bklyn Pizza,95,"1406 86th Street #3408, Brooklyn",brooklyn,90
Park Bagels,Evergreen Park Restaurant,86,"1410 86th Street, Brooklyn",brooklyn,90
Mike's Diner Of Brooklyn,Diner,90,"1454 86th Street, Brooklyn",brooklyn,90
Mia Zia,Mamma Mia Pizza Restaurant,86,"8424 13th Avenue, Brooklyn",brooklyn,90
Tommaso,Tommaso's,95,"1464 86th Street, Brooklyn",1464 86th St,90
God Father Martono,Father & Sons Wood Fire Oven Pizza,86,Brooklyn,brooklyn,100
BurgerFi: Take Out Available,OUT Latin Food,86,"719 86th Street, Brooklyn",brooklyn,90
Annabelle's Pastaria,Star,90,"717 86th Street, Brooklyn",brooklyn,90
Dyker Park Bagels,Miller's Ale House - Rego Park,86,"713 86th Street, Brooklyn",brooklyn,90
Szechuan Delight 川園,Szechuan Delight,95,"709 86th Street, Brooklyn",brooklyn,90
Landy's Pizzeria & Restaurant,Pizzeria & Restaurant,95,"9050 Fort Hamilton Parkway, Brooklyn",brooklyn,90
Hana Japanese Restaurant,Dan Japanese Restaurant,94,"524 86th Street, Brooklyn",brooklyn,90
3 Pyramids Halal Cart,Halal,90,Brooklyn,brooklyn,100
Middle Eastern Halal Cart Citibank Side,Halal,90,"8601 5th Avenue, Brooklyn",5th Avenue,90
E Noodle,E and J Restaurant,86,"8619 5th Avenue, Brooklyn",5th Avenue,90
Thai Leaf,Mekong Thai & Vietnamese Restaurant,86,"611 86th Street, Brooklyn",brooklyn,90
⼀成都故乡,Chen Du Tian Fu 成都天府,45,"8701 5th Avenue, Brooklyn",5th Avenue,90
Grand Sichuan House,Hunan House Chinese Restaurant,86,"8701 5th Avenue, Brooklyn",5th Avenue,90
Pizza Wagon,Pizza Pizza,95,"8610 5th Avenue, Brooklyn",5th Avenue,90
Lonestar Sports Bar & Grill,Star,90,"8703 5th Avenue, Brooklyn",5th Avenue,90
Stewart's,Theresa's Polish American Restaurant,86,"8518 5th Avenue, Brooklyn",5th Avenue,90
TIME FOR SALAD,Manna's Soul Food & Salad Bar,86,"480 86th Street, Brooklyn",brooklyn,90
Halal Gyro Cart,Halal,90,"8610 5th Avenue, Brooklyn",5th Avenue,90
Hibachi Master,Kiraku Hibachi & Sushi,86,"8512 5th Avenue, Brooklyn",5th Avenue,90
Mancini's,Theresa's Polish American Restaurant,86,"8504 5th Avenue, Brooklyn",5th Avenue,90
Sunset Bagels Bay Ridge,Bay restaurant,86,"8624 5th Avenue, Brooklyn",5th Avenue,90
Delia's Lounge & Restaurant,Delia's Lounge & Restaurant,100,"9224 3rd Avenue, Brooklyn",9224 3rd Ave,90
