,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
0,ליל שישי / leil shishi,ChIJP_X0npBbwokRHZY2On6QH2s,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,"955 48th Street, Brooklyn",40.6402089,-73.9987775
1,3 In 1 Kitchen,ChIJw6FuKzNFwokRsIXvoYrVQIE,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",153.0,2.0,,"4902 Fort Hamilton Parkway, Brooklyn",40.6384117,-73.99795809999999
2,Dunkin',ChIJIyImLDNFwokRluzGkU7O3hM,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",310.0,1.0,,"4912 Fort Hamilton Parkway, Brooklyn",40.638293,-73.9982003
3,J & J Hot Food & Salad,ChIJYXVfLjNFwokRTFls4CLTqLc,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",45.0,,,"4916 Fort Hamilton Parkway, Brooklyn",40.6381785,-73.99826010000001
4,Jimmy's Deli & Grill,ChIJc3bVLzNFwokRs-iwIQUVmNA,4.1,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",60.0,2.0,,"4922 Fort Hamilton Parkway, Brooklyn",40.6381196,-73.99836719999999
5,Milk N Honey,ChIJAQf5RTNFwokRfzpykx0fCgk,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",206.0,1.0,,"5013 10th Avenue, Brooklyn",40.6380312,-73.9994281
6,Bodai kosher vegetarian inc,ChIJz5r15xJFwokRNOoEhJFhCkQ,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",58.0,,,"5015 10th Avenue, Brooklyn",40.6380037,-73.99950799999999
7,La Strada Pizzeria,ChIJhdzrRDNFwokRLY-gPqtHAm8,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",326.0,1.0,,"5023 10th Avenue, Brooklyn",40.637828,-73.999567
8,Jentana's,ChIJJViFajNFwokRIHD0z7i6ewE,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",162.0,1.0,,"5102 Fort Hamilton Parkway, Brooklyn",40.637525,-73.999496
9,D & D Coffee Shop,ChIJp8T6e81awokR4aWMqkUpdsc,4.6,"['meal_delivery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",429.0,2.0,,"4508 Fort Hamilton Parkway, Brooklyn",40.64027129999999,-73.9952477
10,Meal Mart,ChIJ3wD4Y81awokRSjgP879fXVQ,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",53.0,,,"4521 Fort Hamilton Parkway, Brooklyn",40.6397962,-73.99524500000001
11,ElPuntoDeSunset,ChIJCwSYAktbwokRyNQxjR556_k,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"44th Street, Brooklyn",40.64280249999999,-73.99745539999999
12,皇后林肯电召车,ChIJBzjdyDRFwokRMIc46_syFyE,4.1,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",11.0,,,"9th Avenue, Brooklyn",40.63866509999999,-74.0023831
13,AJ's Pizzeria & Restaurant,ChIJMXVUftJawokRB459ToWLbbo,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",153.0,1.0,,"4412 Fort Hamilton Parkway, Brooklyn",40.640679,-73.994624
14,开封府饺子店,ChIJG1_qo8tawokRjoeyM60U_Lg,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,1.0,,"4801 8th Avenue, Brooklyn",40.64197160000001,-74.0023612
15,Best Coffee Shop,ChIJobsRf9JawokRSyrZX_muM5I,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",149.0,,,"4410 Fort Hamilton Parkway, Brooklyn",40.640712,-73.994576
16,98K KENNEDY HALAL,ChIJY2gFB_FbwokR4b1-LmDg768,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,,"4715 8th Avenue, Brooklyn",40.64232630000001,-74.0020589
17,Red Apple,ChIJHXJ2p8tawokRg2iyMc3vVek,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,,"4817 8th Avenue, Brooklyn",40.6417333,-74.0026456
18,Mi Yue Lou,ChIJPxEqpMtawokRmt1pLegNn5w,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,"4805 8th Avenue, Brooklyn",40.64192069999999,-74.0025102
19,Boat Haus,ChIJPWR5pstawokRPc-GPcQ0NNs,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",126.0,1.0,,"4807 8th Avenue, Brooklyn",40.64189519999999,-74.00256379999999
20,Sesame - Boro Park,ChIJWzNzPq5FwokRpGctDFofO4s,4.8,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",157.0,,,"5024 13th Avenue, Brooklyn",40.63406339999999,-73.99334139999999
21,J2 Pizza,ChIJbwMH7y1FwokRSLWO1_ew2D8,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,2.0,,"5114 13th Avenue, Brooklyn",40.633749,-73.993828
22,Deli 52,ChIJF0ZZ5S1FwokRp3vbZqKA1fE,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",519.0,2.0,,"5120 13th Avenue, Brooklyn",40.6336362,-73.9939115
23,Rita's Italian Ice & Frozen Custard,ChIJNYaCjaBFwokRd7hKsdU3GZk,4.3,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",6.0,1.0,,"1311 51st Street, Brooklyn",40.6337809,-73.9928396
24,Sushi Meshuna,ChIJWSAR5y1FwokROepafQL49JU,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",217.0,1.0,,"5115 13th Avenue, Brooklyn",40.6333737,-73.9934571
25,Spoons,ChIJoV0CuS1FwokRuBQ7ck5P_Dg,4.3,"['meal_delivery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",451.0,2.0,,"5001 13th Avenue, Brooklyn",40.6342198,-73.9924796
26,Sub Express,ChIJ39jfBi5FwokRONL9Vx5uW7w,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",480.0,2.0,,"5217 13th Avenue, Brooklyn",40.6328756,-73.9941569
27,Yossi's Sweet House,ChIJDxA0HydFwokRsVmdVzIm2-Y,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",56.0,1.0,,"5304 New Utrecht Avenue, Brooklyn",40.6331237,-73.9953692
28,Amnon's Kosher Pizza,ChIJi9IXAS1FwokRzW4igeHSUkg,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1194.0,1.0,,"4814 13th Avenue, Brooklyn",40.6353492,-73.9919815
29,Urbana,ChIJVVUBBi5FwokR50VGU0rFcT0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",477.0,2.0,,"1305 53rd Street, Brooklyn",40.632668699999996,-73.9940434
30,Schnitzi,ChIJFWip-jFFwokR2VEXLlzEA6Y,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",438.0,1.0,,"5326 New Utrecht Avenue, Brooklyn",40.632639,-73.995474
31,Ess&Bentch Boro Park,ChIJhcDp_s1FwokRSCI0LfhNgSY,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",59.0,,,"5326 13th Avenue, Brooklyn",40.6324499,-73.99506339999999
32,Orchidea Restaurant,ChIJ1UvAaS1FwokRaydaGXUQCqE,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",409.0,2.0,,"4815 12th Avenue, Brooklyn",40.6366357,-73.9937528
33,Dips,ChIJw1JEHC5FwokRP1qIrecfA1Y,4.8,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",573.0,2.0,,"5315 13th Avenue, Brooklyn",40.632276,-73.99451499999999
34,MASBIA of Boro Park,ChIJhTda7zFFwokR07qPxM-5SeA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,,,"5402 New Utrecht Avenue, Brooklyn",40.63236,-73.995519
35,Asia Glatt Kosher,ChIJVyveXy1FwokRKc-Vb1whgIQ,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",324.0,2.0,,"4813 New Utrecht Avenue, Brooklyn",40.6369407,-73.9944782
36,Panino Toasty Delicious,ChIJSWKSekpFwokRWTVZwsreS_I,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",123.0,,,"5401 13th Avenue, Brooklyn",40.6320159,-73.994917
37,Meisner's Take Home Food,ChIJt5U95jFFwokRWg58GhTaYsk,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",46.0,,,"5410 New Utrecht Avenue, Brooklyn",40.6321993,-73.9955413
38,Gobo's Cafe,ChIJv8ja2zFFwokRM29S4wxvTfw,4.4,"['cafe', 'meal_delivery', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",307.0,2.0,,"5421 New Utrecht Avenue, Brooklyn",40.6316373,-73.995203
39,"Luzee Takeout, Kosher Deli, Catering",ChIJNTbi2zFFwokRToG0YfqOGRQ,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,,"5421 New Utrecht Avenue # A, Brooklyn",40.63162839999999,-73.9952991
40,Europe Bakery,ChIJPXstdOdEwokRpNTaOOD9g8g,4.7,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",23.0,1.0,,"2367 60th Street, Brooklyn",40.6144434,-73.9743804
41,Master Wonton,ChIJl0L8dOdEwokRGm7X3HMtdIs,4.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",95.0,1.0,,"2369 60th Street, Brooklyn",40.6144067,-73.97437049999999
42,Piccola Italia,ChIJF3ZPBN1EwokRb-P2KUbJvXo,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",13.0,,,"1591 McDonald Avenue, Brooklyn",40.6142506,-73.9736942
43,Vinnies Lanchoenette,ChIJIdn8mOdEwokRfIYtUnSoDq4,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,,"107 Avenue N, Brooklyn",40.61419739999999,-73.9736783
44,Vinnie's Pizza,ChIJ8br6mOdEwokRP4czp7ZF_Jo,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",46.0,,,"109 Avenue N, Brooklyn",40.6140982,-73.97357
45,One Stop Shop Chickens,ChIJ_8M7oedEwokRsznQfe3wVLs,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",20.0,,,"1601 McDonald Avenue, Brooklyn",40.613826,-73.973648
46,Las Banderas,ChIJ1xxlredEwokRPl3kpPowtbI,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",158.0,2.0,,"1641 McDonald Avenue, Brooklyn",40.612894,-73.9734853
47,Arberia,ChIJNfnVkOdFwokR_t07IX7mT5Q,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,,"2325 65th Street, Brooklyn",40.6123227,-73.97825089999999
48,Q.S. Palace,ChIJudajgYJFwokRMvSHxhp3cKI,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",42.0,,,"2305 65th Street, Brooklyn",40.6125379,-73.9787832
49,Djerdan Burek,ChIJzZ8FEeFEwokR-vFRpGZU3NE,4.3,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",126.0,1.0,,"2283 65th Street, Brooklyn",40.61277800000001,-73.979112
50,Cafe Georgian Resteraunt,ChIJsbtmvGJFwokRp85_JuhbU80,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,,,"2307 65th Street, Brooklyn",40.6124699,-73.9788276
51,Sushi Bleu @ Moishas Supermarket,ChIJ89xSSLdFwokR3aguKFI-CPA,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"315 Avenue M, Brooklyn",40.6169011,-73.97212309999999
52,Qiu's House,ChIJsVP9ruFEwokRzgIxntkKsxA,4.7,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",30.0,,,"2229 65th Street, Brooklyn",40.61351579999999,-73.9803835
53,Golden Dynasty,ChIJNbpEQ-BEwokRdlNMRGinEyk,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",88.0,1.0,,"6316 Bay Parkway, Brooklyn",40.614802,-73.98080569999999
54,Ortobello's,ChIJGVsYUuBEwokRHsFR2Poibfk,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",280.0,2.0,,"6401 Bay Parkway, Brooklyn",40.61428610000001,-73.9807222
55,Casa New York,ChIJd8hJl-ZEwokRtgT7m13FTpE,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,,,"2439 64th Street, Brooklyn",40.6113055,-73.975194
56,Popeyes Louisiana Kitchen,ChIJBddcYv9FwokR8_V-V8kQwX0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.0,1.0,,"6417 Bay Parkway, Brooklyn",40.6139079,-73.98090239999999
57,Mazza & More,ChIJJ3AzzMJEwokRReaRDKL_VYU,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",47.0,,,"412 Avenue M, Brooklyn",40.61659799999999,-73.970947
58,Pizza Daddy,ChIJOU6CNeBEwokRDa6Upx1R45A,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",427.0,2.0,,"6422 Bay Parkway, Brooklyn",40.6140682,-73.9814573
59,La Palina,ChIJW0BC3-NEwokRCcguDYS9UbI,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",398.0,2.0,,"159 Avenue O, Brooklyn",40.610956,-73.978853
60,Win Xin,ChIJtejB8xpcwokRK7EjGyvcEkQ,4.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",92.0,1.0,,"6001 14th Avenue, Brooklyn",40.6272884,-73.9963057
