name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
Tommy's,Tommy's,100,"3750 Broadway, New York","New York, New York",95
Grandma's Margherita Pizza & Pasta,Margherita Pizza,90,"3750 Broadway #2, New York","New York, New York",95
Road to philly,Good to Go Restaurant,86,"3750 Broadway, New York","New York, New York",95
Big City Burger,Dragon City Chinese Restaurant,86,"3750 Broadway, New York","New York, New York",95
Uptown Melt,Uptown African Restaurant,86,"3750 Broadway, New York","New York, New York",95
Harlem Public,El Nuevo Harlem Restaurant,86,"3612 Broadway, New York","New York, New York",95
Teddy's F&B Bar,El Morro Restaurant & Bar,86,"256 E112th street, New York",New York,90
Sidewalk Tacos,Tacos Puebla Restaurant,86,"2163 2nd Avenue, New York","New York, New York",95
Indo Pak Halal,Indo Pak Halal Restaurant,90,"2173 2nd Avenue #2909, New York",2173 2nd Ave,90
Made In Mexico Harlem,Mexico 2000,86,"2161 2nd Avenue, New York","New York, New York",95
Brother’s bakery Café,bakery,90,"2155 2nd Avenue, New York","New York, New York",95
Mountain Bird,Blue Mountain Restaurante,86,"2162 2nd Avenue, New York","New York, New York",95
GAUDir,Gaudio's Pizzeria & Restaurant,75,"251 East 110th Street, New York",New York,90
Sushi Lemon Life,Ginpachi Sushi Restaurant,86,"255 East 110th Street, New York",New York,90
La Nostra Pizzeria,La Strada Pizzeria & Restaurant,86,"2146 2nd Avenue #3207, New York",New York,90
Halal Kitchen,Halal Kitchen,100,"2135 2nd Avenue #2, New York",2135 2nd Ave,90
Las Panteras Negras,Las Panteras Negras,100,"2130 2nd Avenue, New York","New York, New York",95
Cascalote,Pascalou,71,"2126 2nd Avenue, New York","New York, New York",95
Dragon Town,Dragon Town Chinese Restaurant,90,"2030 3rd Avenue, New York","New York, New York",95
Amor Cubano,Cuba,90,"2018 3rd Avenue, New York","New York, New York",95
Pee Dee Steak House,Hunan House Chinese Restaurant,86,"2006 3rd Avenue, New York","New York, New York",95
El Chevere,El Morro Restaurant & Bar,86,"2000 3rd Avenue, New York","New York, New York",95
Rong Sheng,New Rong Cheng Restaurant,86,"2102 2nd Avenue, New York","New York, New York",95
New Good Taste,Good Taste,95,"1974 2nd Avenue A, New York",1974 2nd Ave,90
China Gourmet,China Gourmet Chinese Restaurant,90,"2014 2nd Avenue, New York","New York, New York",95
Malii Thai Kitchen,Mekong Thai & Vietnamese Restaurant,86,"2028 2nd Avenue, New York","New York, New York",95
Bindaas Modern Indian,C B Finger Licking Jamaican and West Indian Restaurant,86,"2036 2nd Avenue, New York","New York, New York",95
Spice Hut,Spice Hut Restaurant,90,"2036 2nd Avenue, New York","New York, New York",95
Mj Pizza,MJ's Pizza,95,"1976 1st Avenue, New York","New York, New York",95
Lupitas,Lupita Food Corp.,79,"2049 2nd Avenue, New York","New York, New York",95
Dave's Marketplace,Theresa's Polish American Restaurant,86,"1944 1st Avenue, New York","New York, New York",95
Bangklyn East Harlem,East Dynasty Chinese Restaurant,86,"2051 2nd Avenue, New York","New York, New York",95
106 Fish Market,Fish Market,95,"2055 2nd Avenue, New York","New York, New York",95
Rano's Chicken Burgers,Theresa's Polish American Restaurant,86,"2041 1st Avenue, New York","New York, New York",95
Rano's Chicken & Burgers,Theresa's Polish American Restaurant,86,"2041 1st Avenue, New York","New York, New York",95
TRIPLE A1 RESTAURANT,Triple A Restaurant,97,"2061 2nd Avenue # 106, New York",2061 2nd Ave,90
Five Star,Star,90,"2039 1st Avenue, New York","New York, New York",95
Dreamer's Pizza,Pizza Pizza,95,"1850 3rd Avenue, New York","New York, New York",95
La Amistad,La Amistad Bakery And Restaurant,90,"2067 2nd Avenue, New York","New York, New York",95
McDonald,McDonald's,95,"2075 1st Avenue, New York","New York, New York",95
BM Deli Grocery,Deli Grocery,95,"1916 3rd Avenue # 1, New York",New York,90
San Cristobal,Restaurant San Cristobal,90,"339 East 108th Street, New York",New York,90
Hole in the Wall,The Golden Glass Restaurant,86,"445 East 35th Street, New York",New York,90
Bread & Butter,Center of Hope International Bread of Life Food Bank,86,"401 East 34th Street, New York",New York,90
Pizza & Pita Halal Food,Halal Food,90,"344 East 34th Street, New York",New York,90
Panini Cafe,Stars Cafe & Restaurant,86,"589 1st Avenue, New York","New York, New York",95
El Parador Cafe,El Morro Restaurant & Bar,86,"325 East 34th Street, New York",New York,90
Panini Natural Food,famous restaurant Chinese food,86,"589 1st Avenue, New York","New York, New York",95
Townhouse Diner,Diner,90,"696 2nd Avenue, New York","New York, New York",95
Bravest,Korean BBQ Restaurant,64,"700 2nd Avenue, New York","New York, New York",95
El Pote Español,El Pote,90,"718 2nd Avenue, New York","New York, New York",95
Montagu's Gusto,Theresa's Polish American Restaurant,86,"645 2nd Avenue, New York","New York, New York",95
Profit,Profit  Chinese Restaurant II,90,"643 2nd Avenue, New York","New York, New York",95
Profit,Profit  Chinese Restaurant II,90,"643 2nd Avenue, New York","New York, New York",95
Tacos Grand Central,Tacos Puebla,86,"711 2nd Avenue, New York","New York, New York",95
251 Ginza Sushi,Ginpachi Sushi Restaurant,86,"251 East 35th Street, New York",New York,90
Best Wingers,Best Food Restaurant,86,"711 2nd Avenue, New York","New York, New York",95
Gemini Diner,Diner,90,"641 2nd Avenue, New York","New York, New York",95
Lan Larb,Lan King Chinese Restaurant,86,"637 2nd Avenue, New York","New York, New York",95
Exotic Empanadas,Brick Lane Exotic Indian Restaurant,86,"635 2nd Avenue, New York","New York, New York",95
Antique Cafe & Bakery,bakery,90,"909 3rd Avenue, New York","New York, New York",95
Hillstone,Hillstone,100,"888 3rd Avenue, New York","New York, New York",95
Little Thai Kitchen,Little Bandgladesh Restaurant,86,"231 East 53rd Street, New York",New York,90
Souvlaki GR Kouzina,Lali,68,"231 East 53rd Street, New York",New York,90
D Napoli Pizza,Napoli pizza,95,"906 3rd Avenue, New York","New York, New York",95
Little Tong Noodle Shop,Little Sagion International Restaurant Group 小西龚越南美食集團,86,"235 East 53rd Street, New York",New York,90
Hudson Malone,The Shops & Restaurants at Hudson Yards,86,"218 East 53rd Street, New York",New York,90
P.J. Clarke's,Theresa's Polish American Restaurant,86,"915 3rd Avenue, New York","New York, New York",95
Go! Go! Curry! E 53rd St.,Perry St,86,"235 East 53rd Street 2nd and 3rd, 5th Avenue, New York",5th Avenue,90
OBAO,Bobo,75,"222 East 53rd Street, New York",New York,90
Angelo Bellini,Angelo Bellini,100,"224 East 53rd Street, New York",New York,90
Jukai,Ukrainian East Village Restaurant,72,"237 East 53rd Street, New York",New York,90
Kati Shop : Thai • Curry • Rice,Thai 101,86,"162 East 55th Street, New York",New York,90
Tomi Jazz,Tomi Sushi Japanese Restaurant,86,"239 East 53rd Street, New York",New York,90
Lucky Cat,Lucky,90,"232 East 53rd Street, New York",New York,90
7 Green & Grain,Green Pavilion Restaurant,86,"875 3rd Avenue, New York","New York, New York",95
Peking Duck House,Peking Duck House,100,"236 East 53rd Street, New York",New York,90
Halal Food,Halal Food,100,New York,New York,100
Delegates Dining Room,Neptune Room Restaurant and Bait Bar,86,"1 United Nations Plaza, New York",New York,90
Ambassador Grill & Lounge,Taipan Fusion Restaurant and Hookah Lounge,86,"Millennium Hilton, 1 United Nations Plaza, New York",New York,90
Tudor City Steakhouse,China City,86,"45 Tudor City Place, New York",45 Tudor City Pl,90
Peace Cafe,Peace Cafe & Restaurant,90,"342 East 47th Street, New York",New York,90
UN Plaza Grill,Golden Krust Caribbean Bakery and Grill,86,"845 United Nations Plaza, New York",New York,90
Mysttik Masaala,Mysttik Masaala (Indian Food Truck),90,"304 East 44th Street, New York",New York,90
XPL Halal Food Truck,XPL Halal Food Truck,100,"820 2nd Avenue, New York","New York, New York",95
Kaoru,Kar,75,"306 East 46th Street, New York",New York,90
The Palm - Palm Too,The Palm,90,"840 2nd Avenue, New York","New York, New York",95
La Trattoria Pizza,Pizza,90,"844 2nd Avenue, New York","New York, New York",95
Chelsea Bagel of Tudor City,China City,86,"800 2nd Avenue, New York","New York, New York",95
Calico's jack Cantina,Theresa's Polish American Restaurant,86,"800 2nd Avenue, New York","New York, New York",95
McFadden's Saloon,McFadden's Saloon,100,"800 2nd Avenue, New York","New York, New York",95
East Palace,C&L Of East Ocean Restaurant,86,"819 2nd Avenue, New York","New York, New York",95
John's Coffee Shop,John's Coffee Shop,100,"823 2nd Avenue, New York","New York, New York",95
Cafe Fresco,Stars Cafe & Restaurant,86,"1239 1st Avenue, New York","New York, New York",95
Greek Eats,The Greek Family Restaurant,86,"1229 1st Avenue, New York","New York, New York",95
Pizza Park,Pizza Park,100,"1233 1st Avenue #6309, New York",New York,90
Bagelworks,Glow,68,"1229 1st Avenue, New York","New York, New York",95
Java Girl,Java Indonesian Rijsttafel,86,"348 East 66th Street, New York",St 6,90
Mini Deli,Deli,90,"1266 2nd Avenue, New York","New York, New York",95
Mediterraneo,Mediterraneo,100,"1260 2nd Avenue, New York","New York, New York",95
Zawa Japanese,Yan Jing Chinese and Japanese Restaurant,86,"354 East 66th Street, New York",St 6,90
New Wong Asian Food,Asian Food,90,"1217 1st Avenue, New York","New York, New York",95
Tai Sheng,Yong Sheng Restaurant,86,"1217 1st Avenue, New York","New York, New York",95
Le Gourmet Manhattan,China Gourmet Chinese Restaurant,86,"1267 1st Avenue, New York","New York, New York",95
Donna Margherita,Villa Margherita Italian Restaurant,86,"1304A 2nd Avenue, New York","New York, New York",95
Kuu,Kubus,75,"1275 1st Avenue, New York","New York, New York",95
Za Za,Zaffran Party Hall & restaurant,86,"1207 1st Avenue, New York","New York, New York",95
Morso,Orso,89,"420 East 59th Street, New York",New York,90
Bistro Vendôme,Luna Asian Bistro and Japanese Rooftop Restaurant 日本料理,86,"405 East 58th Street, New York",New York,90
Amaze Fusion & Lounge,Taipan Fusion Restaurant and Hookah Lounge,86,"1066 1st Avenue, New York","New York, New York",95
Pa Pa Thai Cuisine,Mekong Thai & Vietnamese Restaurant,86,"1069 1st Avenue, New York","New York, New York",95
Kiss My Slice Pizza,Pizza,90,"401 East 57th Street, New York",New York,90
Suzu Japanese Sushi NY,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"1075 1st Avenue #A, New York",New York,90
Pa Pa,Zaffran Party Hall & restaurant,86,"1069 1st Avenue, New York","New York, New York",95
Go Noodle,Go Noodle,100,"1069 1st Avenue, New York","New York, New York",95
Rosa Mexicano,Rosa Mexicano,100,"1063 1st Avenue, New York","New York, New York",95
Fusha Asian Cuisine,Annie Chan's Japanese Cuisine Restaurant,86,"1065 1st Avenue, New York","New York, New York",95
