name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
Lupita's,Lupita's Restaurant,90,"904 Melrose Avenue, The Bronx",904 Melrose Ave,90
Lechonera & Pollo Sabroso,Pollo Sabroso,90,"3326 3rd Avenue, The Bronx",3rd Ave.,90
Porto Salvo,Porto Bello Pizza and Restaurant,86,"424 East 161 Street, The Bronx",Street,90
Symphony Diner,Diner,90,"496 East 161 Street, The Bronx",Street,90
Linda's Pizzeria,Linda's Pizzeria,100,"3240 3rd Avenue, The Bronx",3rd Ave.,90
Bate Nabaya,Maya,68,"860 Melrose Avenue, The Bronx",860 Melrose Ave,90
Cinco De Mayo,Cinco de Mayo,100,"837 Washington Avenue, The Bronx",Washington Ave,90
K & L,C&L Of East Ocean Restaurant,86,"3204 3rd Avenue, The Bronx",3rd Ave.,90
Jalloh,Fouta Djallon Restaurant,75,"3396 3rd Avenue, The Bronx",396 3rd Ave,90
Flava’s Restaurant and Lounge,Flava’s Restaurant And Lounge,100,"3114 3rd Avenue, The Bronx",3114 3rd Ave,90
Adinkra,Raw,72,"1141 Washington Avenue, The Bronx",Washington Ave,90
Noches de Copas,Bar Sol De Quito Restaurant II,86,"3426 3rd Avenue, The Bronx",3rd Ave.,90
Dyckman Express,Dyckman Express,100,"101 Dyckman Street, New York",101 Dyckman St,90
Kennedy Chicken And Gyro,Ambrosia Italian and Albanian Restaurant,86,"158 Nagle Avenue, New York","New York, New York",95
Dyckman Dogs,Man Do,90,"105-A Dyckman Street, New York",New York,90
Cachapas y Mas Express,L & Y Wing Hing Chinese Restaurant,86,"105A Dyckman Street, New York",New York,90
Cachapas y Mas,Migueleno's Pizza Y Restaurant,86,"107 Dyckman Street, New York",New York,90
Rico Chimi,Pio Rico Restaurant,86,"111 Dyckman Street, New York",New York,90
La Suegra de Dyckman (Mexican food),LA Cazuela Restaurant,86,New York,New York,100
Havana tacos,Havana,90,"212 Nagle Avenue, New York","New York, New York",95
Jimbos Hamburger Palace,Leslies Palace Caribbean Bar and Restaurant,86,"117 Dyckman Street, New York",New York,90
Chinito Latino Hibachi Fusion,Tu Sabor Latino,86,"122 Dyckman Street, New York",New York,90
Pizza Palace,Pizza Palace,100,"121 Dyckman Street, New York",New York,90
Cevicos,Ciccio's,67,"125 Nagle Avenue, New York","New York, New York",95
Taqueria Los Jarritos,El Rinconcito De Los Sabores Restaurant & Deli,86,"121A Nagle Avenue, New York",New York,90
Brasier Restaurant & Lounge,Brasier Restaurant & Lounge,100,"402 West 202nd Street, New York",New York,90
Tenth Avenue | Grow Hospitality,Ann & Tony's - An Original Arthur Avenue Restaurant,86,"3775 10th Avenue, New York","New York, New York",95
Luxor NY,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"3775 10th Avenue Ste 7, New York",3775 10th Ave,90
