,name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
0,Taste 'n Toast,Taste,90,"5516 New Utrecht Avenue, Brooklyn",brooklyn,90
1,Kim Ess Doo,Hong Doo Ke Restaurant,86,"5507 13th Avenue, Brooklyn",brooklyn,90
2,Cafe Pobeda,Stars Cafe & Restaurant,86,"5610 New Utrecht Avenue #4631, Brooklyn",5610 New Utrecht Ave,90
3,Gobo's Cafe,Theresa's Polish American Restaurant,86,"5421 New Utrecht Avenue, Brooklyn",brooklyn,90
4,"Luzee Takeout, Kosher Deli, Catering",Club Deli Restaurant,86,"5421 New Utrecht Avenue # A, Brooklyn",brooklyn,90
5,Meisner's Take Home Food,Theresa's Polish American Restaurant,86,"5410 New Utrecht Avenue, Brooklyn",brooklyn,90
6,MASBIA of Boro Park,Ranch Restaurant and Bar of Guyana,86,"5402 New Utrecht Avenue, Brooklyn",brooklyn,90
7,Panino Toasty Delicious,Deli,90,"5401 13th Avenue, Brooklyn",brooklyn,90
8,Schnitzi,Schnitzi Food Truck,90,"5326 New Utrecht Avenue, Brooklyn",brooklyn,90
9,Ess&Bentch Boro Park,Miller's Ale House - Rego Park,86,"5326 13th Avenue, Brooklyn",brooklyn,90
10,Dips,Paradise Restaurant,68,"5315 13th Avenue, Brooklyn",brooklyn,90
11,Yossi's Sweet House,Yossi's,90,"5304 New Utrecht Avenue, Brooklyn",brooklyn,90
12,Urbana,Urban Market By Key Food,78,"1305 53rd Street, Brooklyn",brooklyn,90
13,Sub Express,Cam Tak Express Restaurant,86,"5217 13th Avenue, Brooklyn",brooklyn,90
14,Deli 52,Deli,90,"5120 13th Avenue, Brooklyn",brooklyn,90
15,Sushi Meshuna,Ginpachi Sushi Restaurant,86,"5115 13th Avenue, Brooklyn",brooklyn,90
16,J2 Pizza,Pizza Pizza,95,"5114 13th Avenue, Brooklyn",brooklyn,90
17,El Buffalito Grill,Golden Krust Caribbean Bakery and Grill,86,"6012 New Utrecht Avenue, Brooklyn",6012 New Utrecht Ave,90
18,Le Buffet,Fine Style Buffet Jamaican Food,90,"5501 17th Avenue, Brooklyn",7th Ave,90
19,JII Pizza,Pizza Pizza,95,"5502 18th Avenue, Brooklyn",18th Avenue,90
20,Vaad Hachnosas Orchim Guest,Oaks,68,"1733 52nd Street, Brooklyn",brooklyn,90
21,Veggies Inc,Sunshine Restaurant Food & Catering Inc,86,"5301 18th Avenue, Brooklyn",18th Avenue,90
22,Glatt A La Carte,Arte,90,"5123 18th Avenue, Brooklyn",18th Avenue,90
23,MSL Estates,Taste,72,"1725 51st Street, Brooklyn",brooklyn,90
24,Kaff Kafe,Kaff's Bake Shop,86,"5320 16th Avenue, Brooklyn",brooklyn,90
25,Big Fleishig's Express,Theresa's Polish American Restaurant,86,"5508 16th Avenue, Brooklyn",brooklyn,90
26,City cafe kosher,Cafe 47,86,"4923 18th Avenue, Brooklyn",18th Avenue,90
27,Sushi Glatt,Ginpachi Sushi Restaurant,86,"5009 16th Avenue, Brooklyn",brooklyn,90
28,Moti's,Moti's,100,"5007 16th Avenue, Brooklyn",5007 16th Ave,90
29,Hadar Geulah,Fada,68,"5914 18th Avenue, Brooklyn",18th Avenue,90
30,Bh Food Corporation,Food Corp,90,"1914 53rd Street, Brooklyn",brooklyn,90
31,Dagan Dairy,Dagan Pizza & Dairy Restaurant,86,"4820 16th Avenue, Brooklyn",4820 16th Ave,90
32,Lieberman Luncheonette,One & One,86,"4801 16th Avenue, Brooklyn",brooklyn,90
33,A & L Pizza Restaurant,Pizza Restaurant,95,"6024 18th Avenue, Brooklyn",18th Avenue,90
34,Anita's,marianita's restaurant,90,"6100 16th Avenue, Brooklyn",brooklyn,90
35,Good Day,Good Day Seafood Restaurant,90,"6202 18th Avenue, Brooklyn",6202 18th Ave,90
36,Like Cafe,Stars Cafe & Restaurant,86,"6205 18th Avenue, Brooklyn",6205 18th Ave,90
37,10AM Breakfast Bar,Bar Sol De Quito Restaurant II,86,"3808 13th Avenue, Brooklyn",3808 13th Ave,90
38,10am Breakfast Bar,Bar Sol De Quito Restaurant II,86,"3808 13th Avenue, Brooklyn",3808 13th Ave,90
39,VIP Grill,Golden Krust Caribbean Bakery and Grill,86,"3715 13th Avenue, Brooklyn",brooklyn,90
40,Sin Fronteras Restaurant,Sin Fronteras Restaurant,100,"3913 13th Avenue, Brooklyn",3913 13th Ave,90
41,Table 40,Table 40,100,"4001 13th Avenue, Brooklyn",4001 13th Ave,90
42,El Morro Tecleño,El Morro Restaurant & Bar,86,"4005 13th Avenue, Brooklyn",brooklyn,90
43,The Loft Steakhouse,The Loft BKNY Restaurant & Lounge,86,"1306 40th Street, Brooklyn",brooklyn,90
44,The Loft Steakhouse - Party Room,The Pine Restaurant,86,"4009 13th Avenue, Brooklyn",brooklyn,90
45,Platers & co New York,New Fulin Kwok Seafood Restaurant,86,"4021 13th Avenue, Brooklyn",brooklyn,90
46,Breadberry Local at Brooklyn Square,At Kazimir Restaurant,86,"3611 14th Avenue, Brooklyn",4th Ave,90
47,Las Marinas,Las Juanas Restaurant Asadero,86,"4018 14th Avenue, Brooklyn",4th Ave,90
48,Yi Min,Yi Min Kitchen (Chinese Food Take Out),90,"3821 Fort Hamilton Parkway, Brooklyn",brooklyn,90
49,Sandwich Express,Cam Tak Express Restaurant,86,"3461 Fort Hamilton Parkway, Brooklyn",brooklyn,90
50,Mi Barrio,Mi Barrio Taqueria Restaurant,90,"3415 14th Avenue, Brooklyn",3415 14th Ave,90
51,Welcome chili,Welcome Seafood Restaurant,86,"3806 Fort Hamilton Parkway, Brooklyn",brooklyn,90
52,First Hand Food,First Hand Food,100,"142-54 Roosevelt Avenue, Flushing",Roosevelt Ave.,90
53,LKF CAFE 蘭桂坊,Stars Cafe & Restaurant,86,"142-38 Roosevelt Avenue, Flushing",142-38 Roosevelt Ave,90
54,LKF Group 蘭桂坊,Little Sagion International Restaurant Group 小西龚越南美食集團,86,"142-38 Roosevelt Avenue, Flushing",142-38 Roosevelt Ave,90
55,Sam Won Gahk,Tong Sam Gyup Goo Yi Restaurant,86,"144-20 Northern Boulevard, Flushing",144-20,90
56,天府小串城 Tianfu BBQ,Ding BBQ and Hot Pot Restaurant,86,"144-18 Northern Boulevard, Flushing",85-18 Northern Boulevard,88
57,Tianfulao,Tian Fu Lou,80,"144-18 Northern Boulevard, Queens",85-18 Northern Boulevard,88
58,San Soo Kap San | Korean BBQ Flushing | Korean Restaurant | 산수갑산 플러싱 맛집,San Soo Kap San,90,"38-13 Union Street, Flushing",Street,90
59,미선식당 美善饭店 Mei Shan Restaurant,Restaurant,90,"141-41 Northern Boulevard, Flushing",147-18 Northern Blvd,86
60,树木屋 东北料理,Luna Asian Bistro and Japanese Rooftop Restaurant 日本料理,34,"141-41 Northern Boulevard, Flushing",147-18 Northern Blvd,86
61,Tacos Bravos,Tacos Puebla Restaurant,86,"146 St &, Northern Boulevard, Flushing",1100 60th St,86
62,Fried Dumpling Shan Tong,Dumpling House,86,"40 E 4th St, Flushing",1100 60th St,86
63,Los Marinillos,El Rinconcito De Los Sabores Restaurant & Deli,86,"141-08 Northern Boulevard, Flushing",147-18 Northern Blvd,86
64,T-swirl crêpe,T&G Restaurant Spot,86,"40 08 Union Street, Flushing",Street,90
65,Jie Jie Sheng,Yong Sheng Restaurant,86,"40-04 Union Street, Flushing",Street,90
66,Salty Stew 滷制大师,Salty Dog Bar and Restaurant,86,"4010 Union Street, Flushing",Street,90
67,Peking Empire,Peking Chinese Restaurant,86,"141-6 Northern Boulevard, Flushing",147-18 Northern Blvd,86
68,Madina’s Halal Cart,Halal,90,"136-81 39th Avenue, Flushing",39th,90
69,Haneul Babsang Korean Food,Bonjuk Korean Traditional Porridge Restaurant,86,"151-29 34th Avenue, Flushing",4th Ave,90
70,El Recuerdo,El Recuerdo Restaurant & Bakery,90,"14605 34th Avenue, Flushing",14605 34th Ave,90
71,Golden Door,Golden Door Restaurant,90,"14605 34th Avenue, Flushing",14605 34th Ave,90
72,Dae Bak Restaurant,Restaurant,90,"146-06 34th Avenue, Flushing",4th Ave,90
73,부뚜막 (Buttumak),Ako,72,"150-05 Northern Boulevard, Flushing",147-18 Northern Blvd,86
74,CafeVine,Caffeine Caterers Food Truck,79,"150-13 Northern Boulevard, Flushing",147-18 Northern Blvd,86
75,Northern Wang Mandoo,146-13 Northern Blvd Korean Restaurant,86,"149-44 Northern Boulevard, Flushing",147-18 Northern Blvd,86
76,Han yang Sushi,Ginpachi Sushi Restaurant,86,"150-51 Northern Boulevard, Flushing",147-18 Northern Blvd,86
77,Northern King Dumpling 노던 왕만두,King Hing,86,"14944 Northern Boulevard, Flushing",147-18 Northern Blvd,86
78,New York K-BBQ,New Fulin Kwok Seafood Restaurant,86,"149-06 Northern Boulevard, Flushing",147-18 Northern Blvd,86
79,Yi Jia Kitchen 忆家馆,Jia Fu Lou Chinese Restaurant,86,"14748 Northern Boulevard, Flushing",147-18 Northern Blvd,86
80,Gossip House-韩国料理,Gossip,90,"147-46 Northern Boulevard, Flushing",147-18 Northern Blvd,86
81,Appetizing Grill 串江湖,Golden Krust Caribbean Bakery and Grill,86,"14734B Northern Boulevard, Flushing",147-18 Northern Blvd,86
82,Kun sohn Noodle House,Dumpling House,86,"3504 154th Street, Flushing",Street,90
83,Dynasty Chinese Restaurant,Dynasty Chinese Restaurant,100,"147-18 Northern Boulevard, Flushing",85-18 Northern Boulevard,88
84,X-tra Cheese Pizza,Pizza,90,"14720 Northern Boulevard, Flushing",147-18 Northern Blvd,86
85,Picnic Garden BBQ BUFFET,Garden 13 Dairy Restaurant and Pizza,86,"154-05 Northern Boulevard, Flushing",147-18 Northern Blvd,86
86,Byung Chun Soondae,New Chun Feng Chinese Restaurant,86,"15603 Northern Boulevard, Flushing",147-18 Northern Blvd,86
87,Northern Sushi,146-13 Northern Blvd Korean Restaurant,86,"15314 Northern Boulevard #4, Queens",147-18 Northern Blvd,86
88,병천자매순대,병천자매순대 (Byun Chung Soon Dae Restaurant) (Byun Chung Soon Dae Restaurant),60,"156-11 Northern Boulevard, Flushing",147-18 Northern Blvd,86
89,Geo Si Gi,Geo Si Gi Restaurant,90,"15228 Northern Boulevard, Flushing",147-18 Northern Blvd,86
90,Bonjuk New York,New Fulin Kwok Seafood Restaurant,86,"152-26 Northern Boulevard, Flushing",147-18 Northern Blvd,86
91,Mr. Soon Tofu,병천자매순대 (Byun Chung Soon Dae Restaurant) (Byun Chung Soon Dae Restaurant),86,"152-22 Northern Boulevard, Flushing",147-18 Northern Blvd,86
92,New York Kim-Bob NaRa,New Fulin Kwok Seafood Restaurant,86,"153-02 Northern Boulevard, Flushing",147-18 Northern Blvd,86
93,Dadam,Mi Bella Dama restaurant,72,"152-24 Northern Boulevard, Flushing",147-18 Northern Blvd,86
94,JJ BAR & BISTRO,El Morro Restaurant & Bar,86,"154-17 Roosevelt Avenue, Flushing",Roosevelt Ave.,90
95,Green Garden,Green Garden Chinese Restaurant,90,"2220 154th Street, Whitestone",Street,90
96,Zaiqa Halal Food,Laiqa Halal Food,94,"156-50, 156-0 25th Drive, Flushing",156-28 Northern Blvd,86
97,Sodam,Moon Soda and Restaurant Suppli,72,"156-50 Northern Boulevard, Flushing",147-18 Northern Blvd,86
98,Hamburguesas El GORDO,El Mexicano,86,"96-08 31st Avenue, Flushing",1st ave.,90
99,Cali Aji,Li Li,86,"98-15 Astoria Boulevard, East Elmhurst",10015 Astoria Blvd,86
100,Cafe Algo Mas,Stars Cafe & Restaurant,86,"9813 Astoria Boulevard, Flushing",10015 Astoria Blvd,86
101,New King's Garden,New Ming Garden,88,"9606 31st Avenue, East Elmhurst",1st ave.,90
102,La Kuchara,La Kuchara Ecuadorian Restaurant Bar,90,"95 07 31st Avenue, Queens",95-07 31st Ave,90
103,Cafe Grill,Stars Cafe & Restaurant,86,"2602 96th Street, East Elmhurst",Street,90
104,Barzola,Barzola,100,"95-20 Astoria Boulevard, East Elmhurst",144-20,86
105,Nuevo Barzola Fusion,Barzola,90,"95-20 Astoria Boulevard, East Elmhurst",144-20,86
106,Lucky's Queens,Lucky,90,"100-11 Astoria Boulevard, Flushing",100-11,90
107,El Manto,El Morro Restaurant & Bar,86,"100-15 Astoria Boulevard, East Elmhurst",10015 Astoria Blvd,86
108,Tacos Sante Fe,Tacos Puebla Restaurant,86,"9407 Astoria Boulevard, East Elmhurst",10015 Astoria Blvd,86
109,Ven Santa Fe,New Santa Ana Restaurant,86,"9407 Astoria Boulevard, East Elmhurst",10015 Astoria Blvd,86
110,Los Tacos Locos Y Loncheria,J Y R Restaurant,86,"3215 Junction Boulevard, East Elmhurst",3452 Junction Blvd,86
111,Metro Star Coffee Shop,Metro Coffee Shop,95,"32-11 Junction Boulevard, New York",New York,90
112,Los Taquitos Del Tio,El Monstro del Sazon Pizzaria & Restaurant,86,"3215 Junction Boulevard, East Elmhurst",3452 Junction Blvd,86
113,Love Bakery,I Love NY Bakery,95,"32-13 Junction Boulevard, East Elmhurst",147-32 41st Ave,86
114,Gilda's,Gilda's Peruvian Restaurant,90,"91-15 31st Avenue, East Elmhurst",91-15 31st Ave,90
115,Pimpollo,Mr. Pollo,71,"32-39 Junction Boulevard, East Elmhurst",147-32 41st Ave,86
116,Satori Burgers,"Kennedy's Fried Chicken, Pizza & Burgers",86,"9109 31st Avenue, East Elmhurst",1st ave.,90
117,La Nueva Colombia,La Nueva Colombia Restaurant,90,"9107 31st Avenue, East Elmhurst",1st ave.,90
118,RJR Yummy Kitchen,Chang Jiang Kitchen Chinese Restaurant,86,"90-21 31st Avenue, East Elmhurst",1st ave.,90
119,Mobile food supplier ( food cart),Food Cart,90,"99-11 Ditmars Boulevard, Flushing",40-11 150th St,86
120,LaGuardia Cafe,Stars Cafe & Restaurant,86,"97-02 23rd Avenue, New York",New York,90
121,Pavilion Grille,Grille De Paris Restaurant,86,"104-04 Ditmars Boulevard, East Elmhurst",823 East 169th Street,86
122,Crust,CRUST,100,"Terminal C, LaGuardia Airport Entrance, East Elmhurst","Terminal D, near Gate D11",86
123,86 Express,Cam Tak Express Restaurant,86,East Elmhurst,823 East 169th Street,86
124,Imran Haider,Dera,68,"198 Hollis Avenue, St. Albans",1100 60th St,86
125,Chef to Go Cuisine,Annie Chan's Japanese Cuisine Restaurant,86,"198-19 Hollis Avenue, St. Albans",198-19 Hollis Ave,90
126,Chris & Sons Roti Shop and Bakery,bakery,90,"198-21 Hollis Avenue, Jamaica",45-21 Parsons Blvd,86
127,Cheung Hing Kitchen,Cheung Hing Kitchen,100,"19914 Hollis Avenue, New York",New York,90
128,Seamorhen,Sea,90,"190-7 109th Road, Jamaica",100 Jamaica Ave,86
129,SYEN GRILL,Golden Krust Caribbean Bakery and Grill,86,"199-30 Hollis Avenue, Jamaica",29-30  A Union St,86
130,FAST BITE,Fast Seafood Restaurant,86,"109-11 Farmers Boulevard, Jamaica",40-11 150th St,86
131,Queens Fried Chicken,Queen,90,"109-11 Farmers Boulevard, Jamaica",40-11 150th St,86
132,Pizza Palace,Pizza Palace,100,"10911 Farmers Boulevard, St. Albans",1100 60th St,86
133,Special Pizza 3,Pizza Pizza,95,"10911 Farmers Boulevard, Jamaica",196 23 Jamaica Avenue,86
134,Tastee Jerk,Taste,90,"20003 Hollis Avenue, New York",New York,90
135,Y & H Deli & Grocery Corporation,Deli & Grocery,90,"11052 Farmers Boulevard, St. Albans",1100 60th St,86
136,B&R Spice,Spice,90,"11106 Farmers Boulevard, New York",New York,90
137,Kim Po,Kim Fai Restaurant,86,"11006 Farmers Boulevard, St. Albans",1100 60th St,86
138,Bobby’s Jamaican Restaurant,Restaurant,90,"111-06 Farmers Boulevard, Queens",13030 Farmers Blvd,86
139,Farmers Pizza,Pizza Pizza,95,"111-36 Farmers Boulevard, St. Albans",1100 60th St,86
140,Oriental Star Kitchen,Star,90,"11217 Farmers Boulevard, New York",New York,90
141,Kriss,Brisas Del Caribe Restaurant,72,"112-04 Farmers Boulevard, Queens",13030 Farmers Blvd,86
142,Xin Xing Chinese Restaurant,Xin Xing Chinese Restaurant,100,"188-13 Jamaica Avenue, Hollis",188-13 Jamaica Ave,90
143,Markie B's,Theresa's Polish American Restaurant,86,"189-09 Jamaica Avenue, Jamaica",Jamaica ave,90
144,Karis Deli & Grocery,Deli & Grocery,95,"184-35 Jamaica Avenue, Jamaica",184-35 Jamaica Ave,90
145,Privilege,AVS Privilege Bakery,90,"184-35 Jamaica Avenue, Jamaica",184-35 Jamaica Ave,90
146,Macumba,Macumba Bar & Restaurant,90,"184-33 Jamaica Avenue, Queens",Jamaica ave,90
147,Girasoles Mexican Cuisine,Annie Chan's Japanese Cuisine Restaurant,86,"184-01 Jamaica Avenue, Hollis",Jamaica ave,90
148,Ho Wah China Wok INC.,China Wok,90,"19519 Jamaica Avenue, Jamaica",19519 Jamaica Ave,90
149,New Apple,The New Apple Restaurant,90,"18714 Hillside Avenue, Jamaica",18714 Hillside Ave,90
150,No 1 Halal Kitchen,Halal Kitchen,95,"18714 New York 25, Hollis","New York, New York",95
151,Ncloud69 Lounge & Restaurant,Lounge & Restaurant,95,"197-15 Jamaica Avenue, Jamaica",Jamaica ave,90
152,Ncloud Restaurant & lounge,Lounge & Restaurant,95,"197-15 Jamaica Avenue, Jamaica",Jamaica ave,90
153,No Limit Lounge NYC,Taipan Fusion Restaurant and Hookah Lounge,86,"197-15 Jamaica Avenue, Queens",Jamaica ave,90
154,A-C Market Grocery and flowers and Sándwich and tacos food Mexica,Ghoroa Sweets and Restaurant,86,"91-32 197th Street, Queens",Street,90
155,El Palo,El Palo Bar & Restaurant,90,"19625 Jamaica Avenue, Jamaica",19625 Jamaica Ave,90
156,Safari,Safari Carribean American Restaurant,90,Hollis,19930 Hollis Ave,90
157,Elena's,Elena's 43,95,"8948 Francis Lewis Boulevard, Queens Village",Cristofordo Columbo Boulevard,86
158,Jamaican Best,Latty's Jamaican Restaurant,86,"204-08 Hillside Avenue, Queens",Hillside Avenue,90
159,Nanas Bistro and Catering,Ambrosia Italian and Albanian Restaurant,86,"205-20 Jamaica Avenue, Hollis",Jamaica ave,90
160,Rosner Kosher Meat,Simon Sez Kosher Restaurant,86,"719 Avenue U, Brooklyn",Avenue U,90
161,Baku Nights,Late Night Superior Deli,66,"712 Avenue U, Brooklyn",712 Avenue U,90
162,Fuji Hana,Fuji Hana,100,"512 Avenue U, Brooklyn",512 Avenue U,90
163,"Lavi Glatt, Inc.",Sunshine Restaurant Food & Catering Inc,86,"805 Avenue U, Brooklyn",Avenue U,90
164,Guerreros Restaurant,Restaurant,90,"809 Avenue U, Brooklyn",Avenue U,90
165,Stolovaya,Maya,68,"813 Avenue U, Brooklyn",Avenue U,90
166,Authentic Soviet Cuisine Cmo Lovar,Amin Indian Cuisine,86,Brooklyn,brooklyn,100
167,Taam Mevorach,Taam-Tov,86,"815 Avenue U, Brooklyn",Avenue U,90
168,Holy Schnitzel,Judd's Holy Rollers Food Cart,86,"819 Avenue U, Brooklyn",Avenue U,90
169,Bistro 613 Steak House,Tokyo Steak,86,"816 Avenue U, Brooklyn",Avenue U,90
170,Arzu palace,China palace chinese restaurant,86,"2390 Coney Island Avenue, Brooklyn",2390 Coney Island Ave,90
171,Sweetspot Cafe,Stars Cafe & Restaurant,86,"2376 Coney Island Avenue, Brooklyn",brooklyn,90
172,Toast Beef,Beef Bar Restaurant牛吧美食坊,86,"2107 East 9th Street, Brooklyn",brooklyn,90
173,Nirvana,Jazzy West Indian and American Restaurant,64,"2340 Coney Island Avenue, Brooklyn",brooklyn,90
174,Cafe Gossip,Gossip,90,"2338 Coney Island Avenue, Brooklyn",brooklyn,90
175,Gurman,Rolf's German Restaurant,75,"2402 Coney Island Avenue, Brooklyn",2402 Coney Island Ave,90
176,Prince Pizza,Prince of Pizza,95,"1101 Avenue U, Brooklyn",Avenue U,90
177,Sizzling Wok,King Wok Chinese Restaurant,86,"2421 Coney Island Avenue, Brooklyn",brooklyn,90
178,Mirage Diner,Diner,90,"717 Kings Highway, Brooklyn",brooklyn,90
179,Cafe Renaissance,Cafe R,90,"802 Kings Highway, Brooklyn",brooklyn,90
180,Kosher Hut of Brooklyn,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"709 Kings Highway, Brooklyn",brooklyn,90
181,Hummus Points One,Number One Chinese Restaurant,86,"822 Kings Highway, Brooklyn",brooklyn,90
182,Mabat,Mabat Steak House Kosher,90,"1809 East 7th Street, Brooklyn",brooklyn,90
183,Bravo Kosher Pizza,Kosher Pizza,90,"902 Kings Highway, Brooklyn",902 Kings Highway,90
184,Davry Kosher Sports Bar,La Kuchara Ecuadorian Restaurant Bar,86,"722 Kings Highway, Brooklyn",brooklyn,90
185,Jack Glatt Kosher,Simon Sez Kosher Restaurant,86,"936 Kings Highway, Brooklyn",brooklyn,90
186,Rondel,Rondel,100,"2006 Coney Island Avenue, Brooklyn",2006 Coney Island Ave,90
187,Sushi Tokyo,Ginpachi Sushi Restaurant,86,"627 Kings Highway, Brooklyn",brooklyn,90
188,Village Cafe,Stars Cafe & Restaurant,86,"1968 Coney Island Avenue, Brooklyn",brooklyn,90
189,Village,Village Restaurant,90,"1964 Coney Island Avenue, Brooklyn",964 Coney Island Ave,90
190,Fashion Kitchen,Chang Jiang Kitchen Chinese Restaurant,86,"1103 Kings Highway, Brooklyn",brooklyn,90
191,Myst Lounge,Taipan Fusion Restaurant and Hookah Lounge,86,"2086 Coney Island Avenue, Brooklyn",2086 Coney Island Ave,90
192,Edo,Toledo Restaurant,90,"2087 Coney Island Avenue, Brooklyn",brooklyn,90
193,MishMash Gourmet,China Gourmet Chinese Restaurant,86,"1103 Kings Highway, Brooklyn",brooklyn,90
194,Luna Kings Pizzeria,La Strada Pizzeria & Restaurant,86,"1115 Kings Hwy, Brooklyn, NY 11229, Brooklyn",1115 Kings Hwy,90
195,Turquoise,Turquoise Kosher Fish Restaurant,90,"189-23 Union Turnpike, Fresh Meadows",2930 Union St,86
196,Mikhael la Tortia grill house,La Badee Restaurant,86,"190-11 Union Turnpike, Fresh Meadows",40-11 150th St,86
197,Lucky Fresh Tortillas,Lucky,90,"188-21 Union Turnpike, New York",New York,90
198,Kin’d,pitkin deli inc.,90,"192-03 Union Turnpike, Fresh Meadows",156-03 Northern Blvd,86
199,Romeo's,Romeo's Pizza,90,"188-08 Union Turnpike, Flushing",2930 Union St,86
200,Romeos Pizza,Romeo's Pizza,96,"188-08 Union Turnpike, Queens",2930 Union St,86
201,Turnpike Cafe,Stars Cafe & Restaurant,86,"187-20 Union Turnpike, Fresh Meadows",144-20,86
202,Sizzle Falafel Bar,Bar Sol De Quito Restaurant II,86,"Fresh Meadows, 15 Union Turnpike #186, Flushing",2930 Union St,86
203,Peking House,Peking House,100,"18523 Union Turnpike, Flushing",2930 Union St,86
204,Dave's Chinese Kitchen,Theresa's Polish American Restaurant,86,"185-24 Union Turnpike, New York",New York,90
205,Meo Japanese Hibachi,Yan Jing Chinese and Japanese Restaurant,86,"185-01 Union Turnpike, Fresh Meadows",171-01 Northern Blvd,86
206,Fresh Meadows Pizzeria & Restaurant,Fresh Meadows Pizzeria and Restaurant,95,"195-09 69th Avenue, Fresh Meadows",196 23 Jamaica Avenue,86
207,Benny's Kosher Pizza,Benny's Kosher Pizza Falafel & Dairy Restaurant,90,"18130 Union Turnpike, Flushing",2930 Union St,86
208,New Hong Kong Garden,Hong Kong,90,"195-11 69th Avenue, Fresh Meadows",40-11 150th St,86
209,Fortune Sushi,Ginpachi Sushi Restaurant,86,"181-24 Union Turnpike, Queens",2930 Union St,86
210,Fortune Glatt Kosher Chinese Take Out,King Chinese Restaurant,86,"180-26 Union Turnpike, Queens",2930 Union St,86
211,Fitoor Cafe & Grill Lounge,Cafe 47,86,"179-22 Union Turnpike, Fresh Meadows",2930 Union St,86
212,Sup Thai Kitchen,Mekong Thai & Vietnamese Restaurant,86,"178-19 Union Turnpike, Fresh Meadows",165-19 Northern Blvd,86
213,Amitabha Vegan,Amitabha Vegetarian Restaurant,86,"6824 Fresh Meadow Lane, Fresh Meadows",6419 Fresh Pond Rd,86
214,Angelo & Al's Pizzeria,Angelo & Al’s Pizzeria,100,"68-22 Fresh Meadow Lane, New York",New York,90
215,Queens Kosher Catering,Queen,90,"178-09 Union Turnpike, Fresh Meadows",2930 Union St,86
216,Cafe Muscat,Cafe Muscat,100,"178-07 Union Turnpike, Fresh Meadows",2930 Union St,86
217,Acquista Trattoria,Maria's Trattoria Restaurant,86,"178-01 Union Turnpike, Queens",2930 Union St,86
218,Bakhter Halal Kabab Afghan,Halal,90,"68-16 Fresh Meadow Lane, Flushing",68 Lafayette Ave,86
219,Nikko Hibachi,Kiraku Hibachi & Sushi,86,"177-21 Union Turnpike, Fresh Meadows",45-21 Parsons Blvd,86
220,The Hot Spot BBQ & Grill,Golden Krust Caribbean Bakery and Grill,86,"179-08 Union Turnpike, Fresh Meadows",2930 Union St,86
221,Umi Sushi,Umi Sushi,100,"177-13 Union Turnpike, Flushing",2930 Union St,86
222,CJ's Cafe,Theresa's Polish American Restaurant,86,"177-15 Union Turnpike, Fresh Meadows",2930 Union St,86
223,Ganda Sushi Express,Umi Sushi,86,"8008 Surrey Place, Queens",7900 Queens Blvd,86
224,Pokeworks,Orso,68,"61-24 190th Street, Queens",Street,90
225,Hooters,Eros,68,"61-09 190th Street, Fresh Meadows",Street,90
226,Chicken and Rice Guy,Ambrosia Italian and Albanian Restaurant,86,"61-1-61-45 188th Street, Fresh Meadows",Street,90
227,Häagen-Dazs® Ice Cream,Cream,90,"61-10 188th Street #274, Fresh Meadows",Street,90
228,Blaze Pizza,Blaze Pizza,100,"187-12 Horace Harding Expressway, New York",187-12 Horace Harding Expressway,95
229,I Chopsticks,Golden chopsticks,86,"185-20 Horace Harding Expressway, New York",New York,90
230,Brother's Pizza,Brother's Pizza,100,"185-04 Horace Harding Expressway, Flushing",18422 Horace Harding Expy,86
231,Pho Choice,First Choice Restaurant,86,"184-22 Horace Harding Expressway, Queens",18422 Horace Harding Expy,86
232,Paradise Halal Meat & Grill,Halal,90,"184-18 Horace Harding Expressway, Fresh Meadows",147-18 Northern Blvd,86
233,Tokyo Hibachi Steakhouse & Sushi,Tokyo Steak,86,"184-16 Horace Harding Expressway, New York",New York,90
234,Shirazi Cafe,Stars Cafe & Restaurant,86,"184-02 Horace Harding Expressway, New York",New York,90
235,Halal boyz,Halal,90,"183-20 Horace Harding Expressway, Queens",144-20,86
236,Chicken N Shakes,All Refrigeration 'N Restaurant Equipment,86,"183-16 Horace Harding Expressway, Queens",18422 Horace Harding Expy,86
237,Vibes 2,Vibes,95,"120-20 Merrick Boulevard, Jamaica",144-20,86
238,Wild Onion NYC,The NYC Bull - Restaurant & Rotisserie,86,"11908 Merrick Boulevard, Jamaica",196 23 Jamaica Avenue,86
239,Ochi Jerk Place Inc,Sunshine Restaurant Food & Catering Inc,86,"126-14 Merrick Boulevard store g, Jamaica",196 23 Jamaica Avenue,86
240,New Hong Kong,Hong Kong,95,"127-1 Merrick Boulevard, Jamaica",1 Worlds Fair Marina,86
241,Rocky Pizza,Pizza Pizza,95,"127-07 Merrick Boulevard, Jamaica",95-07 31st Ave,86
242,Farmers Pizza Grill,Pizza,90,"11725 Farmers Boulevard, St. Albans",1100 60th St,86
243,Springfield Diner,Diner,90,"12813 Merrick Boulevard, Jamaica",196 23 Jamaica Avenue,86
244,Tienchu Chinese Kitchen,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"18838 Linden Boulevard, Jamaica",19625 Jamaica Ave,86
245,Jamaican flavor,Jamaican Flavors Restaurant,90,"117-6-117-8 Farmers Boulevard, St. Albans",1100 60th St,86
