,name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
1176,Something Catchy,Something Catchy Seafood Restaurant,90,"23-14 36th Avenue, Astoria",23-14 36th Ave,90
1177,Daisys Pizza III,Daisy’s Pizza III,97,"2817 36th Avenue, New York","New York, New York",95
1178,Aladdin Sweets,Aladdin Sweets and Restaurant,90,"29-06 36th Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
1179,Boishakhi,Boishakhi Restaurant,90,"29-14 36th Avenue, Queens",29-14 36th Ave,90
1180,Chubby Burgers & Chicken,Chicken Festival,86,"30-05 36th Avenue, Long Island City",29-30  A Union St,86
1181,Sam Lee Kitchen,Tong Sam Gyup Goo Yi Restaurant,86,"21-08 36th Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
1182,Zheng Li Tong,Very Tong Seafood Restaurant,86,"2108 36th Avenue, Long Island City",196 23 Jamaica Avenue,86
1183,Exquisito,Exquisito Restaurante,90,"21-12 36th Avenue, Queens",21-12 36th Ave,90
1184,Palace Fried Chicken,China palace chinese restaurant,86,"21-02 36th Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
1185,Coffee & Green,Coffee & Green,100,"2106 36th Avenue, Queens",2106 36th Ave,90
1186,Leo's Pizza,Leo's pizza,100,"31-01 36th Avenue, Astoria",Between 39th and 40th street on 13th Avenue,86
1187,Chano's Cantina,Theresa's Polish American Restaurant,86,"35-55 31st Street, Queens",35-55 31st St,90
1188,East Garden,East Garden,100,"31-10 36th Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
1189,Samossa Bites,Safiyah Bakery Bites Cafe,86,"3527 31st Street, Queens",31st Street,90
1190,The Jacx Food Hall,Zaffran Party Hall & restaurant,86,"28-07 Jackson Avenue, Long Island City",152-28 Northern Blvd,86
1191,Chickpea,Chickpea & Olive @ The Food Box,90,"42-09 28th Street, Long Island City",28th Street,90
1192,Raj's Indian Kitchen,Raj's Indian Kitchen,100,"27-18 Queens Plaza South, Long Island City",Queens Plaza S,90
1193,Waheyo Modern Mexican,La Chaparrita Mexican Restaurant,86,"27-16 Queens Plaza South, Long Island City",Queens Plaza S,90
1194,Massa's Coal Fired Pizzeria & Bar,Moti's,86,"42-12 28th Street #2, Long Island City",28th Street,90
1195,Lucky Pizzeria & Cafe Inc,Lucky,90,"27-10 Queens Plaza South, Long Island City",Queens Plaza S,90
1196,Franky's Souvlaki,Theresa's Polish American Restaurant,86,Long Island City,41-17 Crescent St. Long Island City,90
1197,First Stop Bar & Grill,La Kuchara Ecuadorian Restaurant Bar,86,"27-08 Queens Plaza South, New York",New York,90
1198,Clever Blend,Total Blend Restaurant,86,"2706 Queens Plaza South, Long Island City",Queens Plaza S,90
1199,Cranberry,Amber,72,"2802 42nd Road, Long Island City",42nd,90
1200,Dumpling D'or,N&D pizza restaurant,86,"25-15 Queens Plaza North, Long Island City",33-25 Francis Lewis Blvd,86
1201,Momento,Momento's Coffee Shop And Pizza,90,"25-13 Queens Plaza North, Long Island City",33-25 Francis Lewis Blvd,86
1202,RESOBOX,Bobo,68,"41-26 27th Street, New York",New York,90
1203,One Love,One & One,95,"Queens St &, Jackson Avenue, Long Island City",1100 60th St,86
1204,The Sanchez Luncheonette,The New Millenium Spanish Restaurant,86,"38-01 Vernon Boulevard, Long Island City",171-01 Northern Blvd,86
1205,Flavors Corner,Roti Corner Restaurant,86,"10-18 41st Avenue, Long Island City",1st ave.,90
1206,Zhen Zhu,Zhen Zhu Restaurant,90,"1039 41st Avenue, Long Island City",1039 41st Ave,90
1207,Friendly,Friendly Restaurant,90,"12-05 40th Avenue, Long Island City",12-05 40th Ave,90
1208,Dominicaan Food,famous restaurant Chinese food,86,"916 37th Avenue, Long Island City",7th Ave,90
