,Borough,Neighborhood,Latitude,Longitude
99,Bronx,Eastchester-Edenwald-Baychester,40.8809435640405,-73.83664470142637
100,Bronx,Co-op City,40.873973081283,-73.8282738141359
101,Bronx,East Tremont,40.84497419652716,-73.88552460698656
102,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.58830806290488,-73.9415125532751
103,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.257459367665696,-74.46857448857418
104,Staten Island,Grymes Hill-Clifton-Fox Hills,40.61798127834215,-74.0878407480257
105,Staten Island,Stapleton-Rosebank,40.618735598904024,-74.07370558434145
106,Queens,Springfield Gardens South-Brookville,40.66219633645046,-73.76449119470273
107,Queens,Rosedale,40.657849805218135,-73.73945608866474
108,Staten Island,Oakwood-Oakwood Beach,40.56200350567333,-74.12258454139725
109,Staten Island,New Dorp-Midland Beach,40.57177853858393,-74.10501148322889
110,Brooklyn,East Williamsburg,40.71537681203314,-73.93679844471383
111,Staten Island,Grasmere-Arrochar-Ft. Wadsworth,40.600329024473155,-74.07177764792489
112,Staten Island,Old Town-Dongan Hills-South Beach,40.58680001185918,-74.08551398691408
113,Brooklyn,Brooklyn Heights-Cobble Hill,40.695477334903316,-73.99487214406146
114,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.692935482202856,-73.98598812867394
115,Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin,40.61458704520384,-73.91524646700756
116,Brooklyn,park-cemetery-etc-Brooklyn,40.637516608269564,-73.8683782482554
117,Bronx,Pelham Parkway,40.85441288601608,-73.85439683020934
118,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,40.67877980732709,-74.00390092231434
119,Queens,Bayside-Bayside Hills,40.76274692633799,-73.77342305276433
120,Bronx,West Concourse,40.82900092193368,-73.92440602852379
121,Manhattan,Hamilton Heights,40.82702199716024,-73.94852306160828
122,Manhattan,East Harlem South,40.7900195609178,-73.94575229269233
123,Manhattan,Turtle Bay-East Midtown,40.75432204107875,-73.96902038348253
124,Manhattan,Lenox Hill-Roosevelt Island,40.7727516215722,-73.96282037281547
125,Queens,Old Astoria,40.77157843018203,-73.92833463864415
126,Manhattan,park-cemetery-etc-Manhattan,40.89174247550822,-73.88511739465551
127,Queens,Steinway,40.77742549574639,-73.90540755758695
128,Queens,Airport,40.697150203767244,-73.82058052023521
129,Queens,Ft. Totten-Bay Terrace-Clearview,40.78334141669572,-73.7859748202831
130,Manhattan,Central Harlem South,40.804340759853424,-73.95129475669724
131,Manhattan,East Harlem North,40.80118367232125,-73.9373621677857
132,Queens,Flushing,40.761101537716954,-73.82886690017476
133,Queens,Whitestone,40.7881995541598,-73.81564459337878
134,Queens,Springfield Gardens North,40.67209852994236,-73.77303772727817
135,Queens,Baisley Park,40.67896184683516,-73.7909885567998
136,Brooklyn,Sunset Park East,40.641897436742035,-74.00464757495732
137,Queens,Oakland Gardens,40.742684083370634,-73.75461686890449
138,Brooklyn,Sunset Park West,40.65238162588658,-74.0112514302695
139,Bronx,Kingsbridge Heights,40.86527396514215,-73.90591251072871
140,Bronx,University Heights-Morris Heights,40.85253032165767,-73.91597563376065
141,Staten Island,New Brighton-Silver Lake,40.63005829928356,-74.10286264499624
142,Staten Island,West New Brighton-New Brighton-St. George,40.63897891272119,-74.10231217168818
143,Queens,Ozone Park,40.67560769109206,-73.84705018472381
144,Queens,Lindenwood-Howard Beach,40.65752506810346,-73.84392462761106
145,Queens,Kew Gardens Hills,40.726407699021244,-73.81866979393172
146,Staten Island,Great Kills,40.55186859837258,-74.15089184223243
147,Staten Island,park-cemetery-etc-Staten Island,40.591233525411184,-73.99859776395039
148,Bronx,Hunts Point,40.812086641350575,-73.88553600818351
149,Queens,Corona,40.74235720884785,-73.85837219354583
150,Queens,North Corona,40.75258778201448,-73.86303770651271
151,Manhattan,East Village,40.72762859362988,-73.98593605488324
152,Bronx,Crotona Park East,40.834004402472026,-73.8858987681069
153,Staten Island,Westerleigh,40.61689265387552,-74.12535463929338
154,Staten Island,Port Richmond,40.628051352188415,-74.14091557164014
155,Manhattan,Lower East Side,40.718179440105125,-73.98773504065282
156,Brooklyn,Brighton Beach,40.58093123953286,-73.96121741266423
157,Brooklyn,West Brighton,40.579096917607025,-73.97339237987303
158,Queens,Forest Hills,40.7214398359514,-73.84767390437345
159,Queens,Rego Park,40.726163719531414,-73.8633400146996
160,Manhattan,Murray Hill-Kips Bay,40.74381284052297,-73.97697311187726
161,Queens,Jackson Heights,40.757320138341825,-73.88532250834596
162,Queens,Woodside,40.74928634803514,-73.90373269910428
163,Bronx,East Concourse-Concourse Village,40.83051951291936,-73.9157900328247
164,Queens,Briarwood-Jamaica Hills,40.71160292726932,-73.80871254149471
165,Queens,Kew Gardens,40.708065518650876,-73.82870150786388
166,Queens,Astoria,40.76150202997628,-73.91969847749391
167,Queens,Queensboro Hill,40.74309277568529,-73.819642690852
168,Manhattan,Gramercy,40.736832609448015,-73.98405574184007
169,Manhattan,Stuyvesant Town-Cooper Village,40.73098164069388,-73.97199806371462
170,Brooklyn,Greenpoint,40.729507962518575,-73.94951838302431
171,Queens,Hunters Point-Sunnyside-West Maspeth,40.73978077602605,-73.93121355052901
172,Bronx,Williamsbridge-Olinville,40.882164482521105,-73.85895053455089
173,Bronx,park-cemetery-etc-Bronx,40.854084819350234,-73.8212595120012
174,Queens,Woodhaven,40.68873916189967,-73.855765819312
175,Queens,park-cemetery-etc-Queens,40.68527969996606,-73.84933517552446
176,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville,40.63132232748233,-74.1673686312857
177,Manhattan,Manhattanville,40.817983844896425,-73.95378343055474
178,Manhattan,Morningside Heights,40.80789451966003,-73.96254509314575
179,Queens,Hammels-Arverne-Edgemere,40.594069349567235,-73.78961920050821
180,Queens,Far Rockaway-Bayswater,40.602462845225375,-73.75531818403593
181,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,40.720774379047135,-74.0047489496245
182,Manhattan,Chinatown,40.715615319436154,-73.99463098528844
183,Bronx,Claremont-Bathgate,40.84275494915831,-73.90031923820709
184,Bronx,Belmont,40.85778851114052,-73.88586940493325
185,Manhattan,Washington Heights North,40.85711453793016,-73.93283481755947
186,Manhattan,Washington Heights South,40.8417158751214,-73.94139985234656
187,Bronx,Van Nest-Morris Park-Westchester Square,40.8467914929169,-73.85066945571256
188,Bronx,Westchester-Unionport,40.8321087129097,-73.84864408230715
189,Bronx,Melrose South-Mott Haven North,40.8182678258345,-73.9128515509355
190,Bronx,Mott Haven-Port Morris,40.80692821987382,-73.91522556085782
191,Brooklyn,Dyker Heights,40.62244687249909,-74.01209708831662
192,Brooklyn,Bay Ridge,40.62485538221568,-74.02988567004843
193,Staten Island,New Springville-Bloomfield-Travis,40.59588269940615,-74.17637030387618
194,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,40.58656784741736,-74.13297551250045
