name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
Taste 'n Toast,Taste,90,"5516 New Utrecht Avenue, Brooklyn",brooklyn,90
Kim Ess Doo,Hong Doo Ke Restaurant,86,"5507 13th Avenue, Brooklyn",brooklyn,90
Cafe Pobeda,Stars Cafe & Restaurant,86,"5610 New Utrecht Avenue #4631, Brooklyn",5610 New Utrecht Ave,90
Gobo's Cafe,Theresa's Polish American Restaurant,86,"5421 New Utrecht Avenue, Brooklyn",brooklyn,90
"Luzee Takeout, Kosher Deli, Catering",Club Deli Restaurant,86,"5421 New Utrecht Avenue # A, Brooklyn",brooklyn,90
Gobo's Cafe,Theresa's Polish American Restaurant,86,"5421 New Utrecht Avenue, Brooklyn",brooklyn,90
Meisner's Take Home Food,Theresa's Polish American Restaurant,86,"5410 New Utrecht Avenue, Brooklyn",brooklyn,90
MASBIA of Boro Park,Ranch Restaurant and Bar of Guyana,86,"5402 New Utrecht Avenue, Brooklyn",brooklyn,90
Panino Toasty Delicious,Deli,90,"5401 13th Avenue, Brooklyn",brooklyn,90
Schnitzi,Schnitzi Food Truck,90,"5326 New Utrecht Avenue, Brooklyn",brooklyn,90
Ess&Bentch Boro Park,Miller's Ale House - Rego Park,86,"5326 13th Avenue, Brooklyn",brooklyn,90
Dips,Paradise Restaurant,68,"5315 13th Avenue, Brooklyn",brooklyn,90
Yossi's Sweet House,Yossi's,90,"5304 New Utrecht Avenue, Brooklyn",brooklyn,90
Urbana,Urban Market By Key Food,78,"1305 53rd Street, Brooklyn",brooklyn,90
Sub Express,Cam Tak Express Restaurant,86,"5217 13th Avenue, Brooklyn",brooklyn,90
Deli 52,Deli,90,"5120 13th Avenue, Brooklyn",brooklyn,90
Sushi Meshuna,Ginpachi Sushi Restaurant,86,"5115 13th Avenue, Brooklyn",brooklyn,90
J2 Pizza,Pizza Pizza,95,"5114 13th Avenue, Brooklyn",brooklyn,90
El Buffalito Grill,Golden Krust Caribbean Bakery and Grill,86,"6012 New Utrecht Avenue, Brooklyn",6012 New Utrecht Ave,90
Le Buffet,Fine Style Buffet Jamaican Food,90,"5501 17th Avenue, Brooklyn",7th Ave,90
JII Pizza,Pizza Pizza,95,"5502 18th Avenue, Brooklyn",18th Avenue,90
Vaad Hachnosas Orchim Guest,Oaks,68,"1733 52nd Street, Brooklyn",brooklyn,90
Veggies Inc,Sunshine Restaurant Food & Catering Inc,86,"5301 18th Avenue, Brooklyn",18th Avenue,90
Glatt A La Carte,Arte,90,"5123 18th Avenue, Brooklyn",18th Avenue,90
MSL Estates,Taste,72,"1725 51st Street, Brooklyn",brooklyn,90
Kaff Kafe,Kaff's Bake Shop,86,"5320 16th Avenue, Brooklyn",brooklyn,90
Big Fleishig's Express,Theresa's Polish American Restaurant,86,"5508 16th Avenue, Brooklyn",brooklyn,90
City cafe kosher,Cafe 47,86,"4923 18th Avenue, Brooklyn",18th Avenue,90
Sushi Glatt,Ginpachi Sushi Restaurant,86,"5009 16th Avenue, Brooklyn",brooklyn,90
Moti's,Moti's,100,"5007 16th Avenue, Brooklyn",5007 16th Ave,90
Hadar Geulah,Fada,68,"5914 18th Avenue, Brooklyn",18th Avenue,90
Bh Food Corporation,Food Corp,90,"1914 53rd Street, Brooklyn",brooklyn,90
Dagan Dairy,Dagan Pizza & Dairy Restaurant,86,"4820 16th Avenue, Brooklyn",4820 16th Ave,90
Lieberman Luncheonette,One & One,86,"4801 16th Avenue, Brooklyn",brooklyn,90
A & L Pizza Restaurant,Pizza Restaurant,95,"6024 18th Avenue, Brooklyn",18th Avenue,90
Anita's,marianita's restaurant,90,"6100 16th Avenue, Brooklyn",brooklyn,90
Good Day,Good Day Seafood Restaurant,90,"6202 18th Avenue, Brooklyn",6202 18th Ave,90
Like Cafe,Stars Cafe & Restaurant,86,"6205 18th Avenue, Brooklyn",6205 18th Ave,90
10AM Breakfast Bar,Bar Sol De Quito Restaurant II,86,"3808 13th Avenue, Brooklyn",3808 13th Ave,90
10am Breakfast Bar,Bar Sol De Quito Restaurant II,86,"3808 13th Avenue, Brooklyn",3808 13th Ave,90
VIP Grill,Golden Krust Caribbean Bakery and Grill,86,"3715 13th Avenue, Brooklyn",brooklyn,90
Sin Fronteras Restaurant,Sin Fronteras Restaurant,100,"3913 13th Avenue, Brooklyn",3913 13th Ave,90
Table 40,Table 40,100,"4001 13th Avenue, Brooklyn",4001 13th Ave,90
El Morro Tecleño,El Morro Restaurant & Bar,86,"4005 13th Avenue, Brooklyn",brooklyn,90
The Loft Steakhouse,The Loft BKNY Restaurant & Lounge,86,"1306 40th Street, Brooklyn",brooklyn,90
The Loft Steakhouse - Party Room,The Pine Restaurant,86,"4009 13th Avenue, Brooklyn",brooklyn,90
Platers & co New York,New Fulin Kwok Seafood Restaurant,86,"4021 13th Avenue, Brooklyn",brooklyn,90
Breadberry Local at Brooklyn Square,At Kazimir Restaurant,86,"3611 14th Avenue, Brooklyn",4th Ave,90
Las Marinas,Las Juanas Restaurant Asadero,86,"4018 14th Avenue, Brooklyn",4th Ave,90
Yi Min,Yi Min Kitchen (Chinese Food Take Out),90,"3821 Fort Hamilton Parkway, Brooklyn",brooklyn,90
Sandwich Express,Cam Tak Express Restaurant,86,"3461 Fort Hamilton Parkway, Brooklyn",brooklyn,90
Mi Barrio,Mi Barrio Taqueria Restaurant,90,"3415 14th Avenue, Brooklyn",3415 14th Ave,90
Welcome chili,Welcome Seafood Restaurant,86,"3806 Fort Hamilton Parkway, Brooklyn",brooklyn,90
First Hand Food,First Hand Food,100,"142-54 Roosevelt Avenue, Flushing",Roosevelt Ave.,90
LKF CAFE 蘭桂坊,Stars Cafe & Restaurant,86,"142-38 Roosevelt Avenue, Flushing",142-38 Roosevelt Ave,90
LKF Group 蘭桂坊,Little Sagion International Restaurant Group 小西龚越南美食集團,86,"142-38 Roosevelt Avenue, Flushing",142-38 Roosevelt Ave,90
Sam Won Gahk,Tong Sam Gyup Goo Yi Restaurant,86,"144-20 Northern Boulevard, Flushing",144-20,90
天府小串城 Tianfu BBQ,Ding BBQ and Hot Pot Restaurant,86,"144-18 Northern Boulevard, Flushing",85-18 Northern Boulevard,88
Tianfulao,Tian Fu Lou,80,"144-18 Northern Boulevard, Queens",85-18 Northern Boulevard,88
San Soo Kap San | Korean BBQ Flushing | Korean Restaurant | 산수갑산 플러싱 맛집,San Soo Kap San,90,"38-13 Union Street, Flushing",Street,90
미선식당 美善饭店 Mei Shan Restaurant,Restaurant,90,"141-41 Northern Boulevard, Flushing",147-18 Northern Blvd,86
树木屋 东北料理,Luna Asian Bistro and Japanese Rooftop Restaurant 日本料理,34,"141-41 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Tacos Bravos,Tacos Puebla Restaurant,86,"146 St &, Northern Boulevard, Flushing",1100 60th St,86
Fried Dumpling Shan Tong,Dumpling House,86,"40 E 4th St, Flushing",1100 60th St,86
Los Marinillos,El Rinconcito De Los Sabores Restaurant & Deli,86,"141-08 Northern Boulevard, Flushing",147-18 Northern Blvd,86
T-swirl crêpe,T&G Restaurant Spot,86,"40 08 Union Street, Flushing",Street,90
Jie Jie Sheng,Yong Sheng Restaurant,86,"40-04 Union Street, Flushing",Street,90
Salty Stew 滷制大师,Salty Dog Bar and Restaurant,86,"4010 Union Street, Flushing",Street,90
Peking Empire,Peking Chinese Restaurant,86,"141-6 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Madina’s Halal Cart,Halal,90,"136-81 39th Avenue, Flushing",39th,90
Haneul Babsang Korean Food,Bonjuk Korean Traditional Porridge Restaurant,86,"151-29 34th Avenue, Flushing",4th Ave,90
El Recuerdo,El Recuerdo Restaurant & Bakery,90,"14605 34th Avenue, Flushing",14605 34th Ave,90
Golden Door,Golden Door Restaurant,90,"14605 34th Avenue, Flushing",14605 34th Ave,90
Dae Bak Restaurant,Restaurant,90,"146-06 34th Avenue, Flushing",4th Ave,90
부뚜막 (Buttumak),Ako,72,"150-05 Northern Boulevard, Flushing",147-18 Northern Blvd,86
CafeVine,Caffeine Caterers Food Truck,79,"150-13 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Northern Wang Mandoo,146-13 Northern Blvd Korean Restaurant,86,"149-44 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Han yang Sushi,Ginpachi Sushi Restaurant,86,"150-51 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Northern King Dumpling 노던 왕만두,King Hing,86,"14944 Northern Boulevard, Flushing",147-18 Northern Blvd,86
New York K-BBQ,New Fulin Kwok Seafood Restaurant,86,"149-06 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Yi Jia Kitchen 忆家馆,Jia Fu Lou Chinese Restaurant,86,"14748 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Gossip House-韩国料理,Gossip,90,"147-46 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Appetizing Grill 串江湖,Golden Krust Caribbean Bakery and Grill,86,"14734B Northern Boulevard, Flushing",147-18 Northern Blvd,86
Kun sohn Noodle House,Dumpling House,86,"3504 154th Street, Flushing",Street,90
Dynasty Chinese Restaurant,Dynasty Chinese Restaurant,100,"147-18 Northern Boulevard, Flushing",85-18 Northern Boulevard,88
X-tra Cheese Pizza,Pizza,90,"14720 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Picnic Garden BBQ BUFFET,Garden 13 Dairy Restaurant and Pizza,86,"154-05 Northern Boulevard, Flushing",147-18 Northern Blvd,86
Byung Chun Soondae,New Chun Feng Chinese Restaurant,86,"15603 Northern Boulevard, Flushing",147-18 Northern Blvd,86
