,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
0,Taste 'n Toast,ChIJIZ1iWDvxZUARFTFQdNz__zY,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,"5516 New Utrecht Avenue, Brooklyn",40.6310003,-73.99579320000001,Brooklyn,Borough Park
1,Kim Ess Doo,ChIJo8qv7ZZFwokRDyIWbbdbAT4,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",118.0,1.0,"5507 13th Avenue, Brooklyn",40.631249200000006,-73.9957671,Brooklyn,Borough Park
2,Cafe Pobeda,ChIJ3blGNDBFwokR9n92csKLHGk,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",232.0,,"5610 New Utrecht Avenue #4631, Brooklyn",40.630615,-73.995976,Brooklyn,Borough Park
3,Gobo's Cafe,ChIJAREfbUlFwokRyc0APiYVMbM,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,,"5421 New Utrecht Avenue, Brooklyn",40.631588799999996,-73.995292,Brooklyn,Borough Park
4,"Luzee Takeout, Kosher Deli, Catering",ChIJNTbi2zFFwokRToG0YfqOGRQ,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,"5421 New Utrecht Avenue # A, Brooklyn",40.63162839999999,-73.9952991,Brooklyn,Borough Park
5,Gobo's Cafe,ChIJv8ja2zFFwokRM29S4wxvTfw,4.4,"['cafe', 'meal_delivery', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",307.0,2.0,"5421 New Utrecht Avenue, Brooklyn",40.631637299999994,-73.995203,Brooklyn,Borough Park
6,Meisner's Take Home Food,ChIJt5U95jFFwokRWg58GhTaYsk,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",46.0,,"5410 New Utrecht Avenue, Brooklyn",40.632199299999996,-73.9955413,Brooklyn,Borough Park
7,MASBIA of Boro Park,ChIJhTda7zFFwokR07qPxM-5SeA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,,"5402 New Utrecht Avenue, Brooklyn",40.63236,-73.99551899999999,Brooklyn,Borough Park
8,Panino Toasty Delicious,ChIJSWKSekpFwokRWTVZwsreS_I,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",121.0,,"5401 13th Avenue, Brooklyn",40.6320159,-73.994917,Brooklyn,Borough Park
9,Schnitzi,ChIJFWip-jFFwokR2VEXLlzEA6Y,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",438.0,1.0,"5326 New Utrecht Avenue, Brooklyn",40.632639000000005,-73.995474,Brooklyn,Borough Park
10,Ess&Bentch Boro Park,ChIJhcDp_s1FwokRSCI0LfhNgSY,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",59.0,,"5326 13th Avenue, Brooklyn",40.632449900000005,-73.99506339999998,Brooklyn,Borough Park
11,Dips,ChIJw1JEHC5FwokRP1qIrecfA1Y,4.8,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",572.0,2.0,"5315 13th Avenue, Brooklyn",40.632276,-73.99451499999998,Brooklyn,Borough Park
12,Yossi's Sweet House,ChIJDxA0HydFwokRsVmdVzIm2-Y,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",55.0,1.0,"5304 New Utrecht Avenue, Brooklyn",40.6331237,-73.9953692,Brooklyn,Borough Park
13,Urbana,ChIJVVUBBi5FwokR50VGU0rFcT0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",477.0,2.0,"1305 53rd Street, Brooklyn",40.6326687,-73.9940434,Brooklyn,Borough Park
14,Sub Express,ChIJ39jfBi5FwokRONL9Vx5uW7w,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",480.0,2.0,"5217 13th Avenue, Brooklyn",40.6328756,-73.99415690000001,Brooklyn,Borough Park
15,Deli 52,ChIJF0ZZ5S1FwokRp3vbZqKA1fE,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",519.0,2.0,"5120 13th Avenue, Brooklyn",40.633636200000005,-73.9939115,Brooklyn,Borough Park
16,Sushi Meshuna,ChIJWSAR5y1FwokROepafQL49JU,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",217.0,1.0,"5115 13th Avenue, Brooklyn",40.6333737,-73.9934571,Brooklyn,Borough Park
17,J2 Pizza,ChIJbwMH7y1FwokRSLWO1_ew2D8,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,2.0,"5114 13th Avenue, Brooklyn",40.633749,-73.99382800000001,Brooklyn,Borough Park
18,El Buffalito Grill,ChIJabGJkjpFwokRkXKSVYGqmmY,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",58.0,1.0,"6012 New Utrecht Avenue, Brooklyn",40.627398,-73.996901,Brooklyn,Borough Park
19,Wing Xin Chinese Restaurant Chinese Food & Texas-Mexican Food,ChIJy95n7zpFwokRC1bsob6uChw,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"60th Street, Brooklyn",40.62735289999999,-73.9963242,Brooklyn,Borough Park
20,Le Buffet,ChIJL-0aNyZFwokRff7KScaG8as,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",74.0,,"5501 17th Avenue, Brooklyn",40.62597969999999,-73.9865323,Brooklyn,Borough Park
21,JII Pizza,ChIJ1_WnoidFwokRReO1uB00pgU,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",194.0,1.0,"5502 18th Avenue, Brooklyn",40.62492200000001,-73.984667,Brooklyn,Borough Park
22,Vaad Hachnosas Orchim Guest,ChIJTQCkEChFwokRe-u4uPXeCaA,3.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,"1733 52nd Street, Brooklyn",40.627495,-73.983761,Brooklyn,Borough Park
23,Veggies Inc,ChIJEdy4-SdFwokRnp7RwBpwHSY,4.7,"['convenience_store', 'grocery_or_supermarket', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",9.0,,"5301 18th Avenue, Brooklyn",40.625856,-73.9832038,Brooklyn,Borough Park
24,Glatt A La Carte,ChIJJwEg-ddEwokROudgJLI-Kt0,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",893.0,2.0,"5123 18th Avenue, Brooklyn",40.6265615,-73.9824403,Brooklyn,Borough Park
25,MSL Estates,ChIJQRu7JihFwokRaK9Do43L4i0,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"1725 51st Street, Brooklyn",40.62813999999999,-73.98333579999998,Brooklyn,Borough Park
26,Kaff Kafe,ChIJtwa5tyhFwokRVnJSVx4xyws,4.5,"['meal_delivery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",318.0,2.0,"5320 16th Avenue, Brooklyn",40.62848549999999,-73.98838520000001,Brooklyn,Borough Park
27,Big Fleishig's Express,ChIJYTGvVy9FwokRvhXzOxC0jDA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",227.0,2.0,"5508 16th Avenue, Brooklyn",40.62756809999999,-73.9894073,Brooklyn,Borough Park
28,Sushi Crave,ChIJC_Y6boRFwokRHDmtJyl3aSQ,,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,"5222 16th Avenue, Brooklyn",40.62896629999999,-73.987912,Brooklyn,Borough Park
29,City cafe kosher,ChIJJbfp2qhFwokRX2j5UjFrzgE,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,"4923 18th Avenue, Brooklyn",40.627791499999994,-73.9812671,Brooklyn,Borough Park
30,Sushi Glatt,ChIJdWo8p9tFwokRZvXvQ2MxOSs,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,"5009 16th Avenue, Brooklyn",40.630110200000004,-73.98618239999998,Brooklyn,Borough Park
31,Moti's,ChIJRxX1CClFwokRhxDzLH1JHTE,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",141.0,1.0,"5007 16th Avenue, Brooklyn",40.6301407,-73.98611190000001,Brooklyn,Borough Park
32,Hadar Geulah,ChIJ3WGNyyZFwokR2rEXFNl5UUM,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",236.0,2.0,"5914 18th Avenue, Brooklyn",40.6223882,-73.98709389999998,Brooklyn,Borough Park
