,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
1297,Dunkin',ChIJqT6YOk5bwokRva_qIym7GAY,3.6,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",69.0,1.0,"1930 Nostrand Avenue, Brooklyn",40.63839820000001,-73.9485114,Brooklyn,Flatbush,60,1
1298,China Star,ChIJ2W2ty05bwokRiqm98D3SN4w,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",49.0,,"2419 Foster Avenue, Brooklyn",40.638549,-73.95330349999998,Brooklyn,Erasmus,58,1
1299,Lucky Star,ChIJMdNgHqz1wokR2Baq5_whiS0,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",36.0,1.0,"807 Southern Boulevard, The Bronx",40.8169034,-73.89602509999997,Bronx,Hunts Point,84,0
1300,KFC,ChIJn0mYX5RbwokR4IvDx68Ylxo,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",409.0,1.0,"1040 Bedford Avenue, Brooklyn",40.6893061,-73.95534400000003,Brooklyn,Bedford,11,1
1301,Crown Fried Chicken & Pizza,ChIJneqoTaNbwokRXkCmTCReJYY,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",54.0,1.0,"963 Fulton Street, Brooklyn",40.68314520000001,-73.9644311,Brooklyn,Clinton Hill,34,1
1302,Energy Fuel,ChIJR8I2SKNbwokRW4hl4jrY-cM,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",78.0,,"926 Fulton Street, Brooklyn",40.682706,-73.963976,Brooklyn,Clinton Hill,34,1
1303,China One,ChIJu0jSHihhwokRPt1r0MSqjac,3.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",52.0,1.0,"2037, 10661 160th Street, Jamaica",40.697525,-73.79434040000002,Queens,South Jamaica,148,3
1304,Popeyes Louisiana Kitchen,ChIJEZEx1yZhwokRnVEogtyZM4U,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",263.0,1.0,"16525 Liberty Avenue, Queens",40.7025346,-73.7916055,Queens,Jamaica,86,3
1305,Dunkin',ChIJXz9Z1yZhwokRTIAIInyk-yo,3.9,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",95.0,1.0,"162-25 Liberty Avenue, Queens",40.70250759999999,-73.79165789999998,Queens,Jamaica,86,3
1306,Dunkin',ChIJd_M50XyMwokREJrTOvGS1DM,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",138.0,1.0,"636 City Island Avenue, The Bronx",40.85552879999999,-73.7911858,Bronx,Pelham Bay-Country Club-City Island,127,0
