name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
El Sol De Cholula,Bar Sol De Quito Restaurant II,86,"161 Wilson Avenue, Brooklyn",brooklyn,90
hills kitchen,Hell's Kitchen,89,"252 Knickerbocker Avenue, Brooklyn",brooklyn,90
Fine Time,Fine & Schapiro,86,"84 Central Avenue, Brooklyn",brooklyn,90
New City,New Fulin Kwok Seafood Restaurant,86,"236 Knickerbocker Avenue, Brooklyn",brooklyn,90
La Tapatia Deli Grocery,Deli Grocery,90,"254 Knickerbocker Avenue B, Brooklyn",brooklyn,90
The Wheelhouse,The Golden Glass Restaurant,86,"165 Wilson Avenue, Brooklyn",brooklyn,90
Bella Cholulita,Mi Bella Dama restaurant,86,"276 Knickerbocker Avenue, Brooklyn",brooklyn,90
Antojitos Ecuatorianos,Hermanos Ecuatorianos Restaurantes,86,"334 Linden Street, Brooklyn",brooklyn,90
Rogelio's Pizza,Pizza Pizza,95,"298 Irving Avenue, Brooklyn",brooklyn,90
La Caleta,La Strada Pizzeria & Restaurant,86,"1529 Gates Avenue, Brooklyn",brooklyn,90
rico chimi,Pio Rico Restaurant,86,"1492 Myrtle Avenue, Brooklyn",brooklyn,90
KUMA NYC,The NYC Bull - Restaurant & Rotisserie,86,"1520 Myrtle Avenue, Brooklyn",brooklyn,90
Color Me Greens,Greens ackermans restaurant,86,"1522 Myrtle Avenue, Brooklyn",brooklyn,90
L'imprimerie,C&L Of East Ocean Restaurant,86,"1524 Myrtle Avenue, Brooklyn",brooklyn,90
Taqueria Acatlan,Mi Barrio Taqueria Restaurant,86,"298 Irving Avenue, Brooklyn",brooklyn,90
Merinda's Deli & Grill,Merinda's Deli & Grill,100,"1543 Myrtle Avenue, Brooklyn",brooklyn,90
El Salvador,El Salvador Restaurant,90,"1544 Myrtle Avenue, Brooklyn",1544 Myrtle Ave,90
Fansway Teriyaki Kitchen,Chang Jiang Kitchen Chinese Restaurant,86,"1513A Myrtle Avenue, Brooklyn",brooklyn,90
Fansway Teriyaki Kitchen,Chang Jiang Kitchen Chinese Restaurant,86,"1513A Myrtle Avenue, Brooklyn",brooklyn,90
La Mesita,La Strada Pizzeria & Restaurant,86,"1513 Myrtle Avenue, Brooklyn",brooklyn,90
Kings County Brewers Collective,Kings Pizza,86,"381 Troutman Street, Brooklyn",brooklyn,90
BUTCHER´S SON BURGER BUSHWICK BROOKLYN,Moti's,86,"400 Troutman Street, Brooklyn",brooklyn,90
RO,Guaro Restaurant,90,"400 Troutman Street, Brooklyn",brooklyn,90
Pitanga,TANG,90,"207 Starr Street, Brooklyn",brooklyn,90
Dock Asian Eatery,Yang No. 1 Asian Restaurant,86,"22 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Artichoke Basille's Pizza,Artichoke Basille's Pizza,100,"18 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Queen,Queen,100,"247 Starr Street, Brooklyn",brooklyn,90
The Turk's Inn,Theresa's Polish American Restaurant,86,"234 Starr Street, Brooklyn",brooklyn,90
Döner Kebab at Turk's Inn,AT&T,90,"234 Starr Street, Brooklyn",brooklyn,90
Santa Salsa,New Santa Ana Restaurant,86,"234 Starr Street, Brooklyn",brooklyn,90
Good Morning Brooklyn,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"31 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
GreenStreets Salads,SALUD,72,"67 Irving Avenue, Brooklyn",brooklyn,90
Sea Wolf,Sea,90,"19 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
The Gradient,The Golden Glass Restaurant,86,"17 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Sauce & Soda,El Sauce Restaurant,86,"40 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Desi Grill,Golden Krust Caribbean Bakery and Grill,86,"46 Wyckoff Avenue, Brooklyn",Wyckoff Ave,90
Blue Collar,Blue,90,"1554 Dekalb Avenue, Brooklyn",brooklyn,90
