,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
5882,Happy Garden,ChIJ8dCj2Zf0wokRKwbL3VYijfg,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",105.0,1.0,"706 Morris Park Avenue, The Bronx",40.8450978,-73.86554439999998,Bronx,park-cemetery-etc-Bronx
5883,Hemo's Spot 3,ChIJtdA6VFv1wokRZBvwRYvY9iM,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",30.0,,"713 Morris Park Avenue, The Bronx",40.845512299999996,-73.8656271,Bronx,park-cemetery-etc-Bronx
5884,Subway,ChIJKzDfr3dEwokRjkqhIukTN7s,3.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",66.0,1.0,"1613 Oriental Boulevard, Brooklyn",40.5786681,-73.9383512,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5885,Private Dining,ChIJvTqnVupFwokRhuqNxRooW_Y,5.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",22.0,,"184 Oxford Street, Brooklyn",40.57884,-73.938232,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5886,Panini Tozt Cafe,ChIJD9ver3dEwokREITeL9DOTQs,3.6,"['cafe', 'meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",100.0,,"1617 Oriental Boulevard, Brooklyn",40.57858110000001,-73.9382002,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5887,Rocca Cafe & Lounge,ChIJ-WNqdnlEwokRWxGplgQpZ-o,4.3,"['cafe', 'night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1376.0,2.0,"2712 Emmons Avenue, Brooklyn",40.583441799999996,-73.94084339999998,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5888,Liman,ChIJKRjfeXlEwokR3J4oX2oLdOk,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",723.0,3.0,"2710 Emmons Avenue, Brooklyn",40.58354889999999,-73.9411605,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5889,Applebee's Grill + Bar,ChIJA1YNyntEwokR88-ZnoKFlbU,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1676.0,2.0,"2505 Emmons Avenue, Brooklyn",40.5839935,-73.9432678,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5890,Emmons Palace,ChIJ2akOU3pEwokR0uWU5kuORyw,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",382.0,2.0,"2265 Emmons Avenue, Brooklyn",40.58400030000001,-73.9442828,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5891,Opera Cafe Lounge,ChIJV3k7VXpEwokRL7EXkMSVFQk,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",2332.0,2.0,"2255 Emmons Avenue, Brooklyn",40.5839846,-73.9444651,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5892,Knights of Columbus,ChIJb8tu-nhEwokRCqTDun1FiT8,4.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",6.0,1.0,"3000 Emmons Avenue, Brooklyn",40.58342950000001,-73.93825489999998,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5893,Roll N Roaster,ChIJyZn7GXlEwokR8z0rpM0kTUU,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",3256.0,1.0,"2901 Emmons Avenue, Brooklyn",40.5841753,-73.9396348,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5894,Чайнииз,ChIJBZgWsItFwokRZ9iQggN9_7Q,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"2101 Emmons Avenue, Brooklyn",40.5837055,-73.94724289999998,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5895,Seafood Buffet,ChIJNYTM2HpEwokRo9I8QK6Mj-g,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",173.0,1.0,"2027 Emmons Avenue #10, Brooklyn",40.5839804,-73.9468498,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5896,Amberjack V,ChIJRZ29MGVEwokRwf3r1NTWRy8,4.1,"['travel_agency', 'restaurant', 'food', 'point_of_interest', 'establishment']",19.0,,"2100 Emmons Avenue, Brooklyn",40.583579,-73.94742529999998,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5897,Penthouse Lounge Bar,ChIJqz1-de9FwokR8lSJesv1FIs,4.3,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",86.0,,"2027 Emmons Avenue 3rd floor, Brooklyn",40.5840174,-73.9468806,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5898,EmOcean,ChIJtdGQXUtFwokRDd1TH5lGq20,3.7,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",6.0,,"2027 Emmons Avenue, Brooklyn",40.5840174,-73.9468806,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5899,Seaport Buffet,ChIJNYTM2HpEwokRfetwZ8ARQk4,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1316.0,2.0,"2027 Emmons Avenue, Brooklyn",40.5839195,-73.947052,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5900,Randazzo's Clam Bar,ChIJU-MJFmVEwokRAbOSlHM0eRI,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1537.0,2.0,"2017 Emmons Avenue, Brooklyn",40.583881,-73.9476541,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5901,Falada Lounge,ChIJ8fmnLGVEwokRi1FmtXEKjss,3.6,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",296.0,,"2011 Emmons Avenue, Brooklyn",40.583882700000004,-73.94777090000001,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5902,Next Door,ChIJFR_OLWVEwokRjaUNttE1zxs,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",171.0,2.0,"2005 Emmons Avenue, Brooklyn",40.58389700000001,-73.9481012,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5903,Signature,ChIJL4x9MmVEwokR8KZ37VNEAjc,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",150.0,2.0,"2007 Emmons Avenue, Brooklyn",40.584013,-73.947997,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5904,La Vue,ChIJP0kM2YZDwokR63MnbOduc5o,3.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",498.0,2.0,"3202 Emmons Avenue, Brooklyn",40.5838806,-73.9327833,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5905,Hi Tech Wireless Group Lii,ChIJJ6tKY4FDwokRsqGM1F4sYXc,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"2801 Knapp Street, Brooklyn",40.5862,-73.93097630000003,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5906,Dunkin',ChIJJ6tKY4FDwokRyI9GGo-0oiE,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",136.0,1.0,"2801 Knapp Street, Brooklyn",40.5862722,-73.9309928,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5907,Knapp Street Deli,ChIJoWM8coFDwokR7wQHVlz9ld0,4.2,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",231.0,,"2771 Knapp Street, Brooklyn",40.586575,-73.93114399999999,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5908,Jordans Lobster,ChIJVVUlcYFDwokRGr-51BvHw_k,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,"2771 Knapp Street, Brooklyn",40.5865786,-73.93112660000001,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5909,Jordan's Lobster Dock,ChIJbSld0oNDwokRGlLcEtqUQfU,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",588.0,2.0,"3165 Harkness Avenue, Brooklyn",40.586741700000005,-73.92921940000001,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5910,TGI Fridays,ChIJPylDy4NDwokRotEZ1CNa4WY,3.3,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",2109.0,2.0,"3181 Harkness Avenue, Brooklyn",40.5868975,-73.9289345,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5911,Clemente's Maryland Crab House,ChIJmTYGDINDwokRhrrbU8mJWsY,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",641.0,2.0,"3939 Emmons Avenue, Brooklyn",40.5850677,-73.92629240000001,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5912,Kouros Bay Diner,ChIJhZC1MH5EwokR8r26r0Z3WBQ,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",584.0,2.0,"3861 Nostrand Avenue, Brooklyn",40.5898018,-73.9396515,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5913,Connie's Pizzeria,ChIJVVqVOn5EwokRBwh9uvT5zm0,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",90.0,1.0,"3845 Nostrand Avenue, Brooklyn",40.5901463,-73.93926569999998,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5914,Cactus,ChIJry25PH5EwokRXyrARmFaVXE,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",132.0,1.0,"3850 Nostrand Avenue, Brooklyn",40.590117,-73.940161,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5915,Flaming Grill and Modern Buffet,ChIJbbea76JFwokR8tzr4jpW8W4,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",1135.0,1.0,"3839 Nostrand Avenue, Brooklyn",40.590458500000004,-73.9393241,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5916,Chinatown Restaurant,ChIJMcRdnXxEwokRUXOxcBcBG8g,3.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",60.0,1.0,"2306 Voorhies Avenue, Brooklyn",40.5864498,-73.94555759999999,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5917,Vanka Cafe,ChIJAdncnoBEwokRtpRh7EFR6mQ,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",282.0,2.0,"3810 Nostrand Avenue, Brooklyn",40.591018700000006,-73.9404373,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5918,Chopstix Restaurant,ChIJM_6Yl4BEwokRHrJTxP39SZs,4.2,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",534.0,2.0,"3790 Nostrand Avenue, Brooklyn",40.5912797,-73.9403372,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5919,Victoria Pizzeria,ChIJg1eL7XlDwokRa9vssRKss0Q,4.4,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",131.0,1.0,"2716 Gerritsen Avenue, Brooklyn",40.592846,-73.925483,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5920,Dunkin',ChIJT7BjsH1DwokRJWYSE7fdSYU,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",216.0,1.0,"2302 Knapp Street # 2310, Brooklyn",40.596563200000006,-73.93368240000002,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
5921,Knapp Street Pizza,ChIJmdIizGJDwokRKoQjW4-3QYQ,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",494.0,2.0,"2157 Knapp Street, Brooklyn",40.600074,-73.933593,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
