,GeoID,GeoID_cat
1005,MN17,90
1006,MN17,90
1007,MN17,90
1008,MN17,90
1009,MN17,90
1010,MN17,90
1011,MN17,90
1012,MN17,90
1013,MN40,106
1014,MN40,106
1015,MN40,106
1016,MN40,106
1017,MN40,106
1018,MN40,106
1019,MN40,106
1020,MN40,106
1021,MN32,101
1022,MN40,106
1023,MN40,106
1024,MN32,101
1025,MN32,101
1026,MN40,106
1027,MN32,101
1028,MN40,106
1029,MN40,106
1030,MN40,106
1031,MN40,106
1032,MN40,106
1033,MN40,106
1034,MN40,106
1035,MN40,106
1036,MN32,101
1037,MN32,101
1038,MN31,100
1039,MN31,100
1040,MN31,100
1041,BK42,19
1042,BX63,78
1043,BX63,78
1044,BX28,58
1045,BX29,59
1046,BX29,59
1047,BX29,59
1048,BX29,59
1049,BK37,15
1050,BK64,27
1051,BK64,27
1052,BK37,15
1053,BK37,15
1054,BK37,15
1055,BK64,27
1056,BK37,15
1057,BK37,15
1058,BK37,15
1059,BK37,15
1060,BK37,15
1061,BK37,15
1062,BK37,15
1063,BK37,15
1064,BK37,15
1065,MN03,81
1066,MN04,82
1067,MN11,85
1068,MN11,85
1069,MN04,82
1070,MN04,82
1071,MN32,101
1072,MN32,101
1073,MN32,101
1074,MN32,101
1075,MN32,101
1076,MN32,101
1077,MN31,100
1078,MN32,101
1079,MN32,101
1080,MN32,101
1081,BX35,64
1082,BX34,63
1083,MN01,80
1084,MN01,80
1085,MN35,104
1086,MN13,87
1087,MN17,90
1088,MN13,87
1089,MN23,95
1090,MN13,87
1091,MN13,87
1092,MN13,87
1093,MN13,87
1094,MN13,87
1095,MN17,90
1096,MN23,95
1097,MN23,95
1098,MN23,95
1099,MN23,95
1100,MN23,95
1101,MN23,95
1102,MN23,95
1103,MN23,95
1104,MN23,95
1105,MN23,95
1106,MN23,95
1107,MN23,95
1108,MN23,95
1109,MN12,86
1110,MN12,86
1111,MN09,84
1112,MN12,86
1113,MN12,86
1114,MN12,86
1115,MN12,86
1116,MN12,86
1117,MN12,86
1118,MN12,86
1119,MN12,86
1120,MN12,86
1121,MN09,84
1122,MN12,86
1123,BX05,46
1124,BX40,68
1125,BX40,68
1126,BX36,65
1127,BX01,44
1128,BX06,47
1129,BX17,54
1130,BX06,47
1131,BX06,47
1132,BK17,1
1133,BK09,0
1134,BK38,16
1135,BK09,0
1136,BK38,16
1137,BK09,0
1138,BK09,0
1139,BK38,16
1140,BK33,12
1141,BK38,16
1142,BK32,11
1143,BX49,73
1144,QN46,141
1145,QN46,141
1146,QN46,141
1147,QN46,141
1148,QN46,141
1149,MN33,102
1150,MN33,102
1151,MN33,102
1152,MN33,102
1153,MN33,102
1154,MN34,103
1155,MN33,102
1156,MN34,103
1157,MN19,91
1158,MN19,91
1159,MN19,91
1160,MN19,91
1161,MN19,91
1162,MN19,91
1163,MN19,91
1164,MN19,91
1165,MN19,91
1166,MN20,92
1167,MN20,92
1168,MN20,92
1169,MN19,91
1170,MN20,92
1171,MN20,92
1172,MN20,92
1173,MN19,91
1174,MN20,92
1175,MN19,91
1176,MN19,91
1177,MN31,100
1178,MN31,100
1179,MN19,91
1180,MN31,100
1181,MN31,100
1182,MN31,100
1183,MN31,100
1184,MN31,100
1185,MN31,100
1186,MN31,100
1187,MN31,100
1188,MN32,101
1189,MN31,100
1190,QN70,156
1191,QN70,156
1192,QN70,156
1193,QN70,156
1194,QN70,156
1195,QN70,156
1196,QN70,156
1197,QN70,156
1198,MN17,90
1199,MN17,90
1200,MN17,90
1201,MN17,90
1202,MN22,94
1203,MN23,95
1204,QN72,158
1205,MN11,85
1206,MN11,85
1207,MN34,103
1208,MN34,103
1209,MN34,103
1210,MN03,81
1211,QN22,124
1212,QN22,124
1213,QN22,124
1214,QN22,124
1215,QN22,124
1216,QN22,124
1217,QN22,124
1218,QN22,124
1219,BK34,13
1220,BK34,13
1221,BK34,13
1222,BK34,13
1223,BK32,11
1224,BK32,11
1225,QN25,126
1226,QN26,127
1227,QN26,127
1228,QN26,127
1229,QN26,127
1230,QN26,127
1231,QN29,130
1232,QN26,127
1233,QN26,127
1234,MN22,94
1235,MN22,94
1236,MN27,98
1237,MN24,96
1238,MN22,94
1239,MN22,94
1240,MN22,94
1241,MN22,94
1242,MN22,94
1243,MN22,94
1244,MN28,99
1245,MN27,98
1246,MN28,99
1247,MN27,98
1248,MN27,98
1249,MN22,94
1250,MN22,94
1251,MN22,94
1252,MN27,98
1253,MN27,98
1254,MN27,98
1255,MN22,94
1256,QN17,119
1257,MN20,92
1258,MN20,92
1259,MN20,92
1260,MN21,93
1261,MN20,92
1262,MN20,92
1263,MN20,92
1264,MN21,93
1265,MN21,93
1266,MN21,93
1267,QN28,129
1268,QN28,129
1269,QN28,129
1270,QN28,129
1271,QN28,129
1272,QN28,129
1273,QN28,129
1274,QN28,129
1275,QN29,130
1276,QN28,129
1277,QN28,129
1278,QN63,154
1279,QN63,154
1280,QN63,154
1281,QN63,154
1282,QN63,154
1283,QN63,154
1284,QN63,154
1285,QN50,143
1286,BX34,63
1287,BX34,63
1288,BX34,63
1289,BX34,63
1290,BX34,63
1291,BX34,63
1292,BX34,63
1293,BX34,63
1294,QN60,151
1295,QN70,156
1296,QN70,156
1297,QN70,156
1298,QN70,156
1299,QN70,156
1300,QN70,156
1301,QN70,156
1302,MN13,87
1303,MN21,93
1304,MN21,93
1305,BK76,32
1306,BK76,32
1307,QN31,132
1308,QN31,132
1309,QN31,132
1310,QN31,132
1311,QN31,132
1312,QN31,132
1313,BX44,71
1314,BX44,71
1315,QN53,146
1316,QN53,146
1317,QN54,147
1318,QN26,127
1319,QN26,127
1320,MN09,84
1321,MN09,84
1322,MN06,83
1323,MN09,84
1324,MN09,84
1325,MN24,96
1326,MN24,96
1327,MN24,96
1328,MN24,96
1329,MN27,98
1330,MN27,98
1331,MN24,96
1332,MN24,96
1333,MN24,96
1334,MN24,96
1335,MN23,95
1336,MN27,98
1337,MN24,96
1338,MN24,96
1339,MN24,96
1340,MN24,96
1341,MN24,96
1342,MN24,96
1343,MN27,98
1344,MN27,98
1345,MN27,98
1346,MN27,98
1347,BX06,47
1348,MN35,104
1349,MN35,104
1350,MN35,104
1351,MN35,104
1352,MN35,104
1353,MN36,105
1354,MN36,105
1355,MN36,105
1356,MN36,105
1357,MN36,105
1358,MN36,105
1359,MN36,105
1360,MN36,105
1361,MN36,105
1362,MN36,105
1363,MN36,105
1364,MN36,105
1365,BX39,67
1366,BK31,10
1367,BK31,10
1368,BK31,10
1369,MN15,89
1370,MN15,89
1371,MN15,89
1372,MN15,89
1373,MN15,89
1374,MN15,89
1375,MN15,89
1376,MN15,89
1377,MN15,89
1378,MN15,89
1379,MN15,89
1380,MN15,89
1381,QN28,129
1382,QN28,129
1383,MN25,97
1384,MN25,97
1385,MN17,90
1386,MN17,90
1387,MN17,90
1388,MN17,90
1389,MN17,90
1390,MN17,90
1391,MN17,90
1392,MN17,90
1393,MN17,90
1394,MN17,90
1395,MN17,90
1396,MN17,90
1397,MN17,90
1398,MN17,90
1399,MN17,90
1400,MN17,90
1401,MN17,90
1402,MN17,90
1403,MN17,90
1404,MN17,90
1405,MN20,92
1406,MN17,90
1407,MN17,90
1408,MN17,90
1409,MN17,90
1410,MN17,90
1411,MN17,90
1412,MN17,90
1413,MN13,87
1414,MN17,90
1415,MN17,90
1416,MN17,90
1417,MN17,90
1418,MN17,90
1419,MN32,101
1420,MN32,101
1421,MN31,100
1422,MN13,87
1423,MN13,87
1424,MN13,87
1425,MN23,95
1426,MN23,95
1427,MN13,87
1428,MN13,87
1429,MN13,87
1430,MN13,87
1431,MN21,93
1432,MN13,87
1433,MN17,90
1434,MN13,87
1435,MN23,95
1436,MN23,95
1437,MN23,95
1438,MN23,95
1439,MN23,95
1440,MN23,95
1441,MN23,95
1442,MN23,95
1443,MN23,95
1444,MN24,96
1445,MN19,91
1446,MN19,91
1447,MN19,91
1448,MN19,91
1449,MN19,91
1450,MN19,91
1451,MN17,90
1452,MN17,90
1453,MN17,90
1454,MN17,90
1455,MN17,90
1456,MN17,90
1457,MN19,91
1458,MN23,95
1459,MN23,95
1460,MN22,94
1461,MN23,95
1462,MN23,95
1463,MN21,93
1464,MN22,94
1465,MN23,95
1466,MN13,87
1467,MN13,87
1468,QN22,124
1469,BK34,13
1470,MN22,94
1471,MN22,94
1472,MN22,94
1473,MN22,94
1474,MN22,94
1475,MN22,94
1476,MN22,94
1477,MN27,98
1478,MN27,98
1479,MN20,92
1480,MN19,91
1481,MN19,91
1482,MN20,92
1483,MN20,92
1484,MN20,92
1485,MN24,96
1486,MN24,96
1487,MN24,96
1488,MN24,96
1489,MN24,96
1490,MN24,96
1491,MN27,98
1492,MN24,96
1493,MN27,98
1494,MN27,98
1495,MN27,98
1496,MN27,98
1497,MN27,98
1498,MN27,98
1499,BK31,10
1500,BK25,4
1501,BK42,19
1502,QN06,113
1503,BK90,39
1504,QN20,122
1505,QN70,156
1506,BK27,6
1507,BX52,74
1508,MN25,97
1509,MN17,90
1510,MN17,90
1511,MN17,90
1512,SI32,167
1513,MN13,87
1514,MN09,84
1515,BK34,13
1516,BK19,2
1517,BK25,4
1518,QN34,134
1519,BK41,18
1520,BK69,29
1521,BX10,51
1522,BK25,4
1523,QN20,122
1524,BK68,28
1525,QN29,130
1526,BX07,48
1527,QN54,147
1528,MN14,88
1529,MN17,90
1530,MN40,106
1531,BK40,17
1532,BK37,15
1533,BK64,27
1534,QN44,139
1535,BK37,15
1536,BK37,15
1537,MN32,101
1538,MN23,95
1539,MN23,95
1540,MN23,95
1541,MN23,95
1542,MN12,86
1543,BX37,66
1544,BK17,1
1545,SI36,169
1546,BX49,73
1547,QN46,141
1548,MN33,102
1549,MN19,91
1550,MN34,103
1551,QN49,142
1552,BK32,11
1553,QN57,150
1554,MN22,94
1555,MN22,94
1556,MN28,99
1557,MN27,98
1558,MN28,99
1559,BX14,53
1560,BK76,32
1561,QN31,132
1562,MN27,98
1563,MN24,96
1564,MN24,96
1565,BX46,72
1566,BK81,35
1567,QN53,146
1568,BK95,41
1569,BK75,31
1570,BK73,30
1571,QN55,148
