,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
7348,Amy's Bread,ChIJX2hYtB32wokR6_clmb3rXvA,4.2,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",22.0,1.0,,"1220 5th Avenue, New York",40.792538,-73.9519172
7349,Le Pain Quotidien,ChIJcwxgN-hZwokRHdOdqqxY0PE,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,,"1399 Madison Avenue, New York",40.78804359999999,-73.9533573
7350,Famous Famiglia Pizzeria,ChIJGzolKqFYwokRZVcI1T-3T-M,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",425.0,1.0,,"1398 Madison Avenue, New York",40.78788129999999,-73.95388129999999
7351,MOMO 97,ChIJA5bbTX1ZwokRIkSXez4wJ0w,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",14.0,,,"1396 Madison Avenue, New York",40.7878355,-73.9538996
7352,Subway,ChIJGzv5K6FYwokRD0twgX5Goew,3.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",87.0,1.0,,"1392 Madison Ave Units 103 And 104/Ground Floor, New York",40.7877848,-73.9540241
7353,Dunkin',ChIJbQ4shqRYwokRrqOwwJIVvpA,4.1,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",218.0,1.0,,"1391 Madison Avenue, New York",40.7877132,-73.9535207
7354,Side Park,ChIJbT0gUBz2wokRw5p0Xcbb7Ts,4.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",46.0,,,"1230 5th Avenue, New York",40.7929961,-73.9517493
7355,3 Guys,ChIJNQtXMqFYwokRCNogEScLZak,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",319.0,2.0,,"49 East 96th Street, New York",40.78733889999999,-73.953919
7356,Carval Pizzeria,ChIJs0npAT33wokRcBR8yQDu5m8,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"1544 Madison Avenue, New York",40.792743,-73.9504382
7357,Caribbean Fiesta,ChIJOc_L_hz2wokRylTKnUe_OiU,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",46.0,,,"1544 Madison Avenue, New York",40.792733,-73.95041599999999
7358,El Paso Taqueria,ChIJmddF2qZYwokR_7XdWAijqU0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",295.0,2.0,,"64 East 97th Street, New York",40.787287,-73.952823
7359,Bawarchi,ChIJbd84-Rz2wokRK0NMu5YtaqQ,3.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",70.0,1.0,,"1546 Madison Avenue, New York",40.79281590000001,-73.9503905
7360,Mj Pizza,ChIJr5EPh6lYwokR9OiO_0G0dOk,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",63.0,1.0,,"1976 1st Avenue, New York",40.7867022,-73.941971
7361,White Castle,ChIJX6gV9qlYwokRb44IOUFbw4Q,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",1393.0,1.0,,"351 East 103rd Street, New York",40.78805589999999,-73.9417277
7362,Danny & Granny's Restaurant,ChIJOeDNM6z3wokRnLINQZOvQRY,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"West 105th Street, New York",40.7887957,-73.93968799999999
7363,Dave's Marketplace,ChIJcd_dealYwokRKel08DZVa8Y,4.0,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",205.0,,,"1944 1st Avenue, New York",40.7861611,-73.9423583
7364,Double Dragon,ChIJkynd5wH2wokRwwkEUijPB2M,3.7,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",43.0,1.0,,"2037 1st Avenue, New York",40.7892102,-73.9405846
7365,Five Star,ChIJLbkQ6AH2wokRbA7MAjT8p7I,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",46.0,,,"2039 1st Avenue, New York",40.7892612,-73.9405602
7366,Rano's Chicken Burgers,ChIJs_Hf6AH2wokREQjZ_Z_pw0s,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,,"2041 1st Avenue, New York",40.789354,-73.94067
7367,Rano's Chicken & Burgers,ChIJKfeAwgH2wokR7BloxRtjcYI,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",63.0,,,"2041 1st Avenue, New York",40.789354,-73.94067
7368,China Gourmet,ChIJ3SJEdQL2wokR8Q6TJYNN8NU,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",64.0,1.0,,"2014 2nd Avenue, New York",40.7890483,-73.9433779
7369,Malii Thai Kitchen,ChIJS912DgL2wokRC1HaCL5Jjr4,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",231.0,2.0,,"2028 2nd Avenue, New York",40.78942199999999,-73.942945
7370,Texas Chicken & Burgers,ChIJyYjZtqlYwokRbKsvlcO-Yfo,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",182.0,1.0,,"1974 2nd Avenue, New York",40.7876,-73.94427
7371,Bindaas Modern Indian,ChIJOZWM6Vb3wokRIil0AEBpmcg,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",15.0,,,"2036 2nd Avenue, New York",40.7896788,-73.9428018
7372,Spice Hut,ChIJe7s12wb2wokRsyLJyN4hcE4,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",71.0,2.0,,"2036 2nd Avenue, New York",40.789679,-73.942802
7373,New Good Taste,ChIJIXSatqlYwokR83Kw2eoBmzk,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",31.0,1.0,,"1974 2nd Avenue A, New York",40.7876364,-73.9443974
7374,McDonald,ChIJT-A1FLX3wokRDH8ffJErhWI,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"2075 1st Avenue, New York",40.7905416,-73.9396464
7375,Lupitas,ChIJBxgL8adYwokRujaLj-vn8UQ,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",189.0,,,"2049 2nd Avenue, New York",40.7902426,-73.943091
7376,Bangklyn East Harlem,ChIJTyJcPgL2wokRUDyFSCn0xag,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",96.0,,,"2051 2nd Avenue, New York",40.790294,-73.943071
7377,106 Fish Market,ChIJO-uZPgL2wokRQNcM-h4Kxeo,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"2055 2nd Avenue, New York",40.79036709999999,-73.9430029
7378,TRIPLE A1 RESTAURANT,ChIJl-QAOwL2wokRBa9I-vpt4sg,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",316.0,1.0,,"2061 2nd Avenue # 106, New York",40.7905556,-73.9427778
7379,Ollin,ChIJZ9rcBQH2wokRd_Ud4mGQZ7A,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",160.0,2.0,,"339 East 108th Street, New York",40.7911821,-73.9393271
