,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
2856,Shanghai Zhen Gong Fu,ChIJOW_OC1JewokRDyZd5ag8jOc,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",145.0,,,"86-16 Queens Boulevard, Flushing",40.7362224,-73.87740149999999
2857,Dunkin',ChIJrY9rC1JewokR_oXr7XA_cpQ,3.8,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",423.0,1.0,,"86-10 Queens Boulevard, Queens",40.73629419999999,-73.87749029999999
2858,Sushi Island,ChIJ9yNI4E1ewokRqg9P9sQWqyI,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",538.0,1.0,,"87-18 Queens Boulevard, Elmhurst",40.73508040000001,-73.8758776
2859,Lahi,ChIJ5RWdWlJewokRoelYqdTb5Zw,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",169.0,,,"51-24 Van Loon Street, Elmhurst",40.7374855,-73.8794997
2860,Subway,ChIJ1Qf3r7NfwokRXFBdq-koD3U,2.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",51.0,1.0,,"New York, 43-43 91st Place Store #2",40.74271520000001,-73.87354049999999
2861,Tropic Pollo,ChIJE2EErrNfwokRgG3DfNCyKHo,3.7,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",90.0,2.0,,"90-59 Corona Avenue, Flushing",40.7425597,-73.87377459999999
2862,Freedom Dove,ChIJiRkurLNfwokRrgX7ETPNYLM,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",73.0,1.0,,"9053 Corona Avenue, Flushing",40.74249609999999,-73.8739855
2863,La Union,ChIJz_4iorNfwokRtIdRTfG1zuE,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",121.0,2.0,,"91-18 Corona Avenue, Elmhurst",40.7423472,-73.8728783
2864,Michelada House,ChIJofUOouFfwokRDp5Kyam_cTc,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"43-24 91st Place, Queens",40.7426924,-73.874012
2865,Domino's Pizza,ChIJ32Mwq7NfwokRZ0fSEHx8LeE,2.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",360.0,1.0,,"9045 Corona Avenue, Queens",40.7423291,-73.8742335
2866,Corona Diner,ChIJwX59l7NfwokR1OCh3lCyuo8,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",386.0,2.0,,"91-28 Corona Avenue, Queens",40.74234159999999,-73.8725615
2867,Papa John's Pizza,ChIJg5-RVbJfwokRtvb4W7vIvco,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",211.0,1.0,,"90-35 Corona Avenue, Queens",40.7421519,-73.8744999
2868,Little House Café,ChIJWYop_7JfwokRVQc--Qsi-r8,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",86.0,,,"90-19 Corona Avenue, Queens",40.7419743,-73.874594
2869,Soneros,ChIJ3UWfplNfwokRVTy6-tAbFIY,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,"92-02 Corona Avenue, Queens",40.742246,-73.872125
2870,Grace Overflows,ChIJWbiMDbNfwokRMYjXSKFD5pQ,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"4810 91st Place, Elmhurst",40.7414082,-73.87310149999999
2871,Mi Taqueria Tolte,ChIJ6_NahbNfwokRfEyeLVQYROE,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",125.0,1.0,,"9210 Corona Avenue, Elmhurst",40.74229709999999,-73.87196449999999
2872,PaPaChicken 2,ChIJTazTYo1fwokR1Qpb2YdL-jY,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",10.0,,,"90-28 43rd Avenue, Elmhurst",40.7430988,-73.8746474
2873,Despertando Tu Salud,ChIJNzAsy7NfwokR45Cfskalxys,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,,"9107 43rd Avenue, Elmhurst",40.74349809999999,-73.87423849999999
2874,Taqueria Juarez Y Deli Grocery,ChIJi38Uy7NfwokREPV-6NdLjqQ,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",58.0,2.0,,"9109 43rd Avenue, Flushing",40.7435622,-73.8742384
2875,Same Canteen Inc,ChIJ2TTRFs5fwokR7npyCs_MXJA,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,,"90-16 Corona Avenue, Queens",40.7414777,-73.8747023
