name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
Pierozek,Eros,68,"592 Manhattan Avenue, Brooklyn",brooklyn,90
Jimmy's Diner,Diner,90,"577 Union Avenue, Brooklyn",brooklyn,90
Charlotte Patisserie,Ott,90,"596 Manhattan Avenue, Brooklyn",brooklyn,90
Bar Beau,Bea,90,"61 Withers Street, Brooklyn",brooklyn,90
S & K Deli and Grill,deli and grill,95,"364 Leonard Street, Brooklyn",brooklyn,90
Reunion,Lillie's Union Square,74,"544 Union Avenue, Brooklyn",brooklyn,90
Fortune Cookies,Fortune Cookies Chinese Restaurant,90,"611 Manhattan Avenue, Brooklyn",611 Manhattan Ave,90
Fushimi,Fushimi Japanese Restaurant,90,"475 Driggs Avenue, Brooklyn",brooklyn,90
Llama Inn,Sizzle Inn Restaurant,86,"50 Withers Street, Brooklyn",brooklyn,90
Baoburg,Bobo,68,"614 Manhattan Avenue, Brooklyn",brooklyn,90
Amarin Cafe,Stars Cafe & Restaurant,86,"617 Manhattan Avenue, Brooklyn",brooklyn,90
Archie’s Delivery,Deli,90,"457 Graham Avenue, Brooklyn",brooklyn,90
Mister Dips,Mister Taco Mexican Restaurant,86,"111 North 12th Street, Brooklyn",brooklyn,90
Rule Of Thirds,C&L Of East Ocean Restaurant,86,"171 Banker Street, Brooklyn",brooklyn,90
Lou G Siegel,Fu Man Lou Restaurant,86,"58 Dobbin Street, Brooklyn",brooklyn,90
Le Crocodile,Le Fatima Bar & Grill Restaurant,86,"80 Wythe Avenue, Brooklyn",brooklyn,90
Tacos Cholula,Tacos Puebla Restaurant,86,"80-88 North 11th Street, Brooklyn",brooklyn,90
Kinfolk 90,King Wok,56,"90 Wythe Avenue, Brooklyn",brooklyn,90
Mable's Smokehouse & Banquet Hall,Moti's,86,"44 Berry Street, Brooklyn",brooklyn,90
The Whiskey Brooklyn,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"44 Berry Street, Brooklyn",brooklyn,90
Kent Ale House,Hunan House Chinese Restaurant,86,"51 Kent Avenue, Brooklyn",brooklyn,90
Harvey,Harvest Thai Restaurant,75,"96 Wythe Avenue, Brooklyn",brooklyn,90
The Williamsburg Hotel,The Loft BKNY Restaurant & Lounge,86,"96 Wythe Avenue, Brooklyn",brooklyn,90
Seven Seeds,Seven Stars Chinese Restaurant,86,"96 Wythe Avenue, Brooklyn",brooklyn,90
ACRE,City Acres Market,90,"64 Meserole Avenue, Brooklyn",brooklyn,90
Amami Sushi,Ginpachi Sushi Restaurant,86,"57 Nassau Avenue, Brooklyn",Nassau Ave.,90
Sauvage Wines & Spirits,Uva,90,"905 Lorimer Street, Brooklyn",brooklyn,90
Hungry? Thai,Mekong Thai & Vietnamese Restaurant,86,"77 Norman Avenue, Brooklyn",brooklyn,90
Five Leaves,One Point Five Restaurant,86,"18 Bedford Avenue, Brooklyn",brooklyn,90
The Bedford,The Golden Glass Restaurant,86,"110 Bedford Avenue, Brooklyn",brooklyn,90
Bamonte's,Bamonte's,100,"32 Withers Street, Brooklyn",32 Withers St,90
Ohm,Ohm Deli,90,"642 Lorimer Street Ste A, Brooklyn",brooklyn,90
Jerrys Italian Market inc,Ambrosia Italian and Albanian Restaurant,86,"620 Lorimer Street, Brooklyn",brooklyn,90
Kings County Imperial,Imperial Kitchen Chinese Restaurant,86,"20 Skillman Avenue, Brooklyn",Skillman,90
The Richardson,The Golden Glass Restaurant,86,"451 Graham Avenue, Brooklyn",1 Graham Ave,90
