,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
13731,Chicken Bar,ChIJ4wBJbzlZwokRu334NmkU0VI,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"724 8th Avenue, New York",40.759142,-73.98805970000002,Manhattan,Midtown-Midtown South
13732,Junior’s,ChIJu-WnL7VZwokRsrStqhMWerg,4.2,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",48.0,,"1626 Broadway, New York",40.75830020000001,-73.9867036,Manhattan,Midtown-Midtown South
13733,Cena,ChIJcQYXUlRYwokRdGVLeLbrdts,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,"1535 Broadway, New York",40.7585485,-73.9859682,Manhattan,Midtown-Midtown South
13734,Crossroads,ChIJS4dkrlVYwokRy6n9cfzGRC8,3.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",59.0,2.0,"1535 Broadway, New York",40.7585485,-73.9859682,Manhattan,Midtown-Midtown South
13735,JOE & THE JUICE,ChIJc2aclPdYwokRwyzmUGEsr-s,4.1,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",301.0,2.0,"1758 Broadway, New York",40.7657521,-73.9816167,Manhattan,Midtown-Midtown South
13736,Brooklyn Diner USA,ChIJj19umPdYwokRM3HY382Gz1o,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",2149.0,3.0,"212 West 57th Street, New York",40.76564910000001,-73.98076449999998,Manhattan,Midtown-Midtown South
13737,Pret A Manger,ChIJ2QlLvSlZwokR6vfol9U6OCQ,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",164.0,2.0,"1756 Broadway, New York",40.7653818,-73.98168390000002,Manhattan,Midtown-Midtown South
13738,Cafe Concepts,ChIJQXtvkPdYwokR9hFYVmk1hn0,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,"888 7th Avenue #203, New York",40.765274700000006,-73.9807922,Manhattan,Midtown-Midtown South
13739,fresh&co,ChIJ6Qaud_dYwokRBCFYp87oDpg,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",276.0,1.0,"200 West 57th Street, New York",40.7654765,-73.98040300000002,Manhattan,Midtown-Midtown South
13740,Carnegie Diner & Café,ChIJj7SEkvhZwokRtHDhAdrMwo4,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,"205 West 57th Street, New York",40.7657609,-73.9801439,Manhattan,Midtown-Midtown South
13741,Harry Pagancoss,ChIJ__8P3fdYwokRDB-jN8xuzto,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"250 West 57th Street, New York",40.7662016,-73.9821182,Manhattan,Midtown-Midtown South
13742,Carnegie Diner,ChIJN98vqLZZwokRnXnKsKuEc-w,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",27.0,,"205 West 57th Street, New York",40.7657929,-73.9801305,Manhattan,Midtown-Midtown South
13743,888 Cafe & Bar,ChIJI8-hzqNZwokRNZyxDGFo7qA,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,,"890 7th Avenue, New York",40.76519370000001,-73.9806837,Manhattan,Midtown-Midtown South
13744,Sugarfish by Sushi Nozawa,ChIJe6Yde7VZwokRVbeUmR3iKfs,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"1740 Broadway, New York",40.76516280000001,-73.9815678,Manhattan,Midtown-Midtown South
