,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
537,Benny's Kosher Pizza,ChIJs4zkvPpgwokRqOev8L8evN8,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",279.0,1.0,,"18130 Union Turnpike, Flushing",40.727255699999986,-73.7863204
538,Fortune Sushi,ChIJqVF_bpVhwokRXJsMiS8rtME,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,,"181-24 Union Turnpike, Queens",40.7272419,-73.7864757
542,Pokeworks,ChIJzy1Z55JhwokRHRYqjBEXr1g,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",68.0,2.0,,"61-24 190th Street, Queens",40.7404257,-73.7845917
543,Hooters,ChIJcdatubBhwokRNd0ySdodDgg,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1385.0,2.0,,"61-09 190th Street, Fresh Meadows",40.74078889999999,-73.7843505
544,Boston Market,ChIJDbqIHbFhwokRCTMRQNFlw34,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",517.0,1.0,,"61-45 188th Street, Queens",40.7395755,-73.78565019999999
545,Applebee's Grill + Bar,ChIJFdu6A7FhwokROXGrNrWAkTc,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1393.0,2.0,,"61-48 188th Street, Queens",40.7391689,-73.7864412
546,QDOBA Mexican Eats,ChIJXwMLA7FhwokRdpWxkv_psqk,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1011.0,1.0,,"61-40 188th Street, Queens",40.739449,-73.7864578
547,Chicken and Rice Guy,ChIJH182HLFhwokREk5xr_jJ0Jg,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,,"61-1-61-45 188th Street, Fresh Meadows",40.7402143,-73.7861554
548,Five Guys,ChIJpXN6G7FhwokRtBkaHssngkQ,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",457.0,2.0,,"61-22 188th Street, Fresh Meadows",40.73992250000001,-73.786551
549,Häagen-Dazs® Ice Cream,ChIJTZF2GbFhwokR0aiIdbRroqE,4.3,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",188.0,2.0,,"61-10 188th Street #274, Fresh Meadows",40.7401623,-73.7868743
550,Blaze Pizza,ChIJT2HW0T1hwokRNfG39svPeBo,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",213.0,1.0,,"187-12 Horace Harding Expressway, New York",40.74028879999999,-73.78693969999999
552,I Chopsticks,ChIJhea8frFhwokRJPyU4Vz2IoQ,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",187.0,2.0,,"185-20 Horace Harding Expressway, New York",40.739882,-73.788654
553,Ramen Jin,ChIJVSgZLQVhwokR-OZ5ayc6Fq4,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"18516 Horace Harding Expressway, Queens",40.7397991,-73.7886911
554,Brother's Pizza,ChIJUYgdgLFhwokR9BYspg1baVo,4.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",330.0,1.0,,"185-04 Horace Harding Expressway, Flushing",40.7397418,-73.7889393
555,Pho Choice,ChIJbRsPCZJhwokRs5nLm5GconU,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",36.0,,,"184-22 Horace Harding Expressway, Queens",40.7397515,-73.7892799
