,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
7429,Big Al's Soul Food Kitchen,ChIJCSLYk6ZNwokRiILt-zsYQAY,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",94.0,1.0,"170 South Avenue, Staten Island",40.6357664,-74.16638520000002,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville
7430,Puerto Peruano Restaurant,ChIJNxk12mxNwokRS6Myqm3GGfA,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,"112 1st Street, Elizabeth",40.646002,-74.18609599999998,,
7431,Bootleg Mannings Craft Beer & Whiskey Bar,ChIJeRhCMAJNwokR8GjscwG060c,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",298.0,2.0,"2645 Forest Avenue, Staten Island",40.62626389999999,-74.1777583,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville
7432,Mario's Famous Pizza,ChIJowGcMG9NwokRfApfPkhyq-8,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",356.0,2.0,"94 Front Street, Elizabeth",40.64702459999999,-74.18695809999998,,
7433,Don Julio,ChIJuZyurBRNwokRU9IpNAUYY4Y,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",811.0,2.0,"50 Marshall Street, Elizabeth",40.64552310000001,-74.1890564,,
7434,"L&B Homemade Food, Inc",ChIJgUPCq7xNwokRxk2OxODpRIU,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",54.0,,"2960 Richmond Terrace #2311, Staten Island",40.6367001,-74.15892180000002,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville
7435,Deyanira V Arelis Restaurant,ChIJeYaSNWxNwokRhK2AB69qQbE,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,,"89 Broadway, Elizabeth",40.64896299999999,-74.1859123,,
7436,El sabor de helen restaurant,ChIJuwBYFA1NwokRYvFBbPhpgHQ,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",10.0,,"135 1st Street, Elizabeth",40.6489787,-74.1858995,,
7437,Guss's Grill,ChIJodIRiGxNwokR74BuxYnS0aw,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",83.0,1.0,"95 1st Street, Elizabeth",40.6479502,-74.18781800000002,,
7438,El Sazon Spnish Food,ChIJ84EvA9hNwokRNTAUAHPHrQM,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"112 1st Street, Elizabeth",40.64850379999999,-74.1872516,,
7439,Sun Fish Market,ChIJWdBPQmxNwokRPtrGrQR8mLI,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",80.0,,"120 1st Street #1749, Elizabeth",40.6486745,-74.1870125,,
7440,El Cortijo,ChIJLx1xQWxNwokRZi-ng7amg8Q,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"124 1st Street, Elizabeth",40.64877120000001,-74.1868994,,
7441,El Mirador,ChIJO0hzQWxNwokRJqX9bXrhk2U,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",77.0,,"124 1st Street, Elizabeth",40.648827,-74.186903,,
7442,Checkers,ChIJ27qJ-qtNwokRpg-8V6CGNmc,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",450.0,1.0,"2270 Forest Avenue, Staten Island",40.6268971,-74.16566089999998,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville
7443,Antojitos Catrachos,ChIJuxmtamtNwokRA7GKEBT3IfU,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",57.0,1.0,"26 1st Street, Elizabeth",40.6470555,-74.19004340000002,,
7444,Crabs & More Eatery,ChIJP7xjOWtNwokRtBjs2_WuYT8,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,"10 1st Street, Elizabethport",40.64682699999999,-74.1905589,,
