,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
9221,Little Chef Little Cafe,ChIJh4nqHodZwokRXQ_QxGDq6Cw,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",10.0,,"5-43 48th Avenue, Long Island City",40.7443605,-73.95437659999997,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9222,Takumen,ChIJh_i0biNZwokR7X8nFpR4L8g,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",366.0,2.0,"5-50 50th Avenue, New York",40.742736,-73.95465420000002,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9223,Casa Enrique,ChIJv4bbdSNZwokRCgKfDGF8az8,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1476.0,2.0,"5-48 49th Avenue, Long Island City",40.74340629999999,-73.95438089999998,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9224,Vernon Grille,ChIJCUeDeCNZwokRLjLqdXs7oik,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",244.0,2.0,"48-20 Vernon Boulevard, Queens",40.743579,-73.95406570000002,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9225,P J Leahy's,ChIJ6QjiZSNZwokRiy96Vn0_iH8,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",198.0,1.0,"5002 Vernon Boulevard, Long Island City",40.7426635,-73.95432989999998,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9226,Tuk Tuk,ChIJdzA_eiNZwokRUYzjF1dcHko,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",467.0,2.0,"49-06 Vernon Boulevard, Long Island City",40.743192,-73.95411899999998,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9227,Tamashii,ChIJ36fMiyNZwokRfYpeLT5Dq-Q,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",368.0,2.0,"47-36 Vernon Boulevard, Long Island City",40.744522,-73.95380290000001,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9228,Bella Via Pizzeria | Restaurant & Catering,ChIJtfFDiCNZwokRE6KKmHLD7aw,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",299.0,2.0,"47-46 Vernon Boulevard, Long Island City",40.7442639,-73.95375279999998,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9229,Bunker,ChIJb-R79oZfwokR9ypTnPf_z8g,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",553.0,,"99 Scott Avenue, Brooklyn",40.7103611,-73.92353609999998,Brooklyn,East Williamsburg,54,1
9230,Empanada City,ChIJ1Ul30OhfwokR8b1KoeKI9rM,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,"321 Starr Street, Brooklyn",40.70832070000001,-73.920216,Brooklyn,Bushwick North,24,1
9231,Grilled Cheese Incident,ChIJF73XOCFfwokRogimR76D_eo,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",28.0,,"205 Cypress Avenue, Ridgewood",40.708267,-73.919702,Queens,Ridgewood,138,3
9232,Rocco's,ChIJKybRgxhfwokRxQ8bWZ3lfUE,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",118.0,,"5010 Northern Boulevard, Long Island City",40.7524285,-73.9126124,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9233,Taqueria Santa Fe,ChIJEyvAqd5ewokR9uvOT-BEXps,4.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",569.0,1.0,"47-08 47th Avenue, Queens",40.740893,-73.917863,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9234,Giovanni,ChIJ88tFWNlewokR38xUzK1lN9M,3.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",147.0,2.0,"4559 47th Street, Queens",40.7411629,-73.9179587,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9235,Kabayan Authentic,ChIJ6VWN995ewokRAfDJPIoOCBQ,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",166.0,2.0,"49-12 Queens Boulevard, Flushing",40.742456,-73.91547299999998,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9236,Tito Rad's Grill,ChIJ6VWN995ewokR0KRaBbYx_bM,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",877.0,2.0,"49-10 Queens Boulevard, Queens",40.7424774,-73.91558239999998,Queens,Hunters Point-Sunnyside-West Maspeth,83,3
9237,Luigi's Pizza & Pasta,ChIJo04Bh0HzwokRvE84CZGsaN0,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",76.0,,"808 Burke Avenue, The Bronx",40.8712104,-73.86303459999998,Bronx,Bronxdale,21,0
9238,Lee's Chinese Kitchen,ChIJJf8nh0HzwokRfkKD1_nISNg,3.7,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",53.0,,"806 Burke Avenue, The Bronx",40.8712183,-73.8630593,Bronx,Bronxdale,21,0
9239,Lash West Indian & American Cuisine,ChIJObNTKELzwokRMsRELncOw_c,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",891.0,1.0,"800 Burke Avenue, The Bronx",40.87115900000001,-73.86319499999998,Bronx,Bronxdale,21,0
9240,RICHIE RICH CARIBBEAN & AMERICAN CUISINE,ChIJZS5m9kHzwokRbaLu8az2WFQ,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",174.0,2.0,"769 Burke Avenue, The Bronx",40.871595000000006,-73.864411,Bronx,Williamsbridge-Olinville,178,0
9241,La Estrella Tropical,ChIJX59uBELzwokR5LoYIJ_h2Es,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",134.0,,"744 Burke Avenue, The Bronx",40.8712674,-73.8650828,Bronx,Bronxdale,21,0
9242,Kwon Wa Chinese Kitchen,ChIJVfAWAmrzwokR6HQmIxWVDHA,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",58.0,,"727 Burke Avenue, The Bronx",40.87164110000001,-73.86581249999998,Bronx,Williamsbridge-Olinville,178,0
9243,Blue Mountain Cuisine,ChIJx14AxzHzwokRVFBqqXKdXOc,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",34.0,,"3701 Eastchester Road, The Bronx",40.8830734,-73.84967809999998,Bronx,Eastchester-Edenwald-Baychester,55,0
9244,Les Q Caribbean Restaurant,ChIJ1cnqRDrzwokRJ9X4SjY2KtY,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,"3854 Bronxwood Avenue, The Bronx",40.8830946,-73.8557766,Bronx,Williamsbridge-Olinville,178,0
9245,Laconia Fish Market,ChIJSZNU3zHzwokR7rf0HSZaqcY,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",29.0,,The Bronx,40.8840605,-73.8496177,Bronx,Williamsbridge-Olinville,178,0
9246,fried fish,ChIJqeDpk4LzwokRWPrB3AeS3-w,5.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,"3211 White Plains Road, The Bronx",40.8718432,-73.8673621,Bronx,Williamsbridge-Olinville,178,0
9247,Kennedy fried chicken,ChIJLVd7FW_zwokR_ap6f_70feo,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"3211a White Plains Road, The Bronx",40.8718432,-73.8673621,Bronx,Williamsbridge-Olinville,178,0
